,headings,Description
4922,grout,"ref. k.26 smith, a.l., hicks, s.j. and devine, p.j., 2009. sci p354, design of floors for vibration new approach. berkshire steel construction institute. masonry k.3.5.4 bs en 1996-1-1, eurocode 6  design of masonry structures  part 1-1 general rules for reinforced and unreinforced masonry structure bs en 1996-2, eurocode 6  design of masonry structures  part 2 design considerations, selection of materials and execution of masonry k 21 tms 402/602, building code requirements and specifications for masonry structures geotechnics k.3.5.5 k.3.5.5.1 geotechnical investigation and testing bs 1377, methods of test for soils for civil engineering purposes bs 5930, code of practice for ground investigations bs 10175, investigation of potentially contaminated sites  code of practice bs en iso 14688, geotechnical investigation and testing  identification and classification of soil bs en iso 14689, geotechnical investigation and testing  identification, description and classification of rock bs en iso 17892, geotechnical investigation and testing  laboratory testing of soil bs 22475, geotechnical investigation and testing  sampling methods and groundwater measurements bs en iso 22476, geotechnical investigation and testing  field testing bs en iso 22282, geotechnical investigation and testing  geohydraulic testing k.3.5.5.2 geotechnical design bs 6031, code of practice for earthworks bs 8081, code of practice for grouted anchors bs 8102, code of practice for protection of below ground structures against water from ground bs en 1997-12004+a12013, eurocode 7  geotechnical design na+a12014 to bs en 1997-12004+a12013, uk national annex to eurocode 7  geotechnical design  general rules bs en 1997-22007, eurocode 7  ground investigation and design  ground investigation and testing na to bs en 1997-22007, uk national annex to eurocode 7  geotechnical design  ground investigation and testing bs en 1993-52007, eurocode 3  design of steel structures  piling na to bs en 1993-52007, uk national annex to eurocode 3  design of steel structures  piling ref. k.27 burland j. chapman t. skinner h, and brown m., 2012. manual of geotechnical engineering, volume and ii. london ice publishing"
4923,vibration,"ref. k.26 smith, a.l., hicks, s.j. and devine, p.j., 2009. sci p354, design of floors for vibration new approach. berkshire steel construction institute. masonry k.3.5.4 bs en 1996-1-1, eurocode 6  design of masonry structures  part 1-1 general rules for reinforced and unreinforced masonry structure bs en 1996-2, eurocode 6  design of masonry structures  part 2 design considerations, selection of materials and execution of masonry k 21 tms 402/602, building code requirements and specifications for masonry structures geotechnics k.3.5.5 k.3.5.5.1 geotechnical investigation and testing bs 1377, methods of test for soils for civil engineering purposes bs 5930, code of practice for ground investigations bs 10175, investigation of potentially contaminated sites  code of practice bs en iso 14688, geotechnical investigation and testing  identification and classification of soil bs en iso 14689, geotechnical investigation and testing  identification, description and classification of rock bs en iso 17892, geotechnical investigation and testing  laboratory testing of soil bs 22475, geotechnical investigation and testing  sampling methods and groundwater measurements bs en iso 22476, geotechnical investigation and testing  field testing bs en iso 22282, geotechnical investigation and testing  geohydraulic testing k.3.5.5.2 geotechnical design bs 6031, code of practice for earthworks bs 8081, code of practice for grouted anchors bs 8102, code of practice for protection of below ground structures against water from ground bs en 1997-12004+a12013, eurocode 7  geotechnical design na+a12014 to bs en 1997-12004+a12013, uk national annex to eurocode 7  geotechnical design  general rules bs en 1997-22007, eurocode 7  ground investigation and design  ground investigation and testing na to bs en 1997-22007, uk national annex to eurocode 7  geotechnical design  ground investigation and testing bs en 1993-52007, eurocode 3  design of steel structures  piling na to bs en 1993-52007, uk national annex to eurocode 3  design of steel structures  piling ref. k.27 burland j. chapman t. skinner h, and brown m., 2012. manual of geotechnical engineering, volume and ii. london ice publishing"
4924,NULL,"ref. k.28 ciria, 2016. c750, groundwater control  design and practice. london ciria"
4925,conduits and fittings,"dubai building code part k villas execution of geotechnical works k.3.5.5.3 astm d1195m standard test method for repetitive static plate load rests of soils and flexible pavement components, for use in evaluation and design of airport and highway pavements astm d5778 standard test method for electronic friction cone and piezocone penetration testing of soils bs en 1536, execution of special geotechnical works  bored piles bs en 1537, execution of special geotechnical works  ground anchors bs en 1538, execution of special geotechnical works  diaphragm walls bs en 12063, execution of special geotechnical works sheet piles walls bs en 12699, execution of special geotechnical works  displacement piles bs en 12715, execution of special geotechnical works  grouting bs en 12716, execution of special geotechnical works  jet grouting bs en 14199, execution of special geotechnical works  micro piles bs en 14475, execution of special geotechnical works  reinforced fill bs en 14490, execution of special geotechnical works  soil nailing k 22 bs en 14679, execution of special geotechnical works  deep soil mixing bs 5733, general requirements for electrical accessories  specification bs en 14731, execution of special geotechnical works  ground treatment by deep vibrations bs en 15237, execution of special geotechnical works  vertical drains bs 6004, electric cables  pvc insulated and pvc sheathed cables for voltages up to and including 300/500 v, for electric power and lighting bs 6121, mechanical cable glands k.3.6 incoming utilities electrical k.3.6.1 bs 546, specification  two-pole and earthing-pin plugs, socket-outlets and socket-outlet adaptors bs 1363, 13 plugs, socket-outlets, adapters and connection units bs 4177, specification for cooker control units bs 4444, guide to electrical earth monitoring and protective conductor proving bs 4573, specification for 2-pin reversible plugs and shaver socket-outlets bs 4607, non-metallic conduits and fittings for electrical installations  specification for fittings and components of insulating material bs 4662, boxes for flush mounting of electrical accessories  requirements, test methods and dimensions"
4926,cooker control units,"dubai building code part k villas execution of geotechnical works k.3.5.5.3 astm d1195m standard test method for repetitive static plate load rests of soils and flexible pavement components, for use in evaluation and design of airport and highway pavements astm d5778 standard test method for electronic friction cone and piezocone penetration testing of soils bs en 1536, execution of special geotechnical works  bored piles bs en 1537, execution of special geotechnical works  ground anchors bs en 1538, execution of special geotechnical works  diaphragm walls bs en 12063, execution of special geotechnical works sheet piles walls bs en 12699, execution of special geotechnical works  displacement piles bs en 12715, execution of special geotechnical works  grouting bs en 12716, execution of special geotechnical works  jet grouting bs en 14199, execution of special geotechnical works  micro piles bs en 14475, execution of special geotechnical works  reinforced fill bs en 14490, execution of special geotechnical works  soil nailing k 22 bs en 14679, execution of special geotechnical works  deep soil mixing bs 5733, general requirements for electrical accessories  specification bs en 14731, execution of special geotechnical works  ground treatment by deep vibrations bs en 15237, execution of special geotechnical works  vertical drains bs 6004, electric cables  pvc insulated and pvc sheathed cables for voltages up to and including 300/500 v, for electric power and lighting bs 6121, mechanical cable glands k.3.6 incoming utilities electrical k.3.6.1 bs 546, specification  two-pole and earthing-pin plugs, socket-outlets and socket-outlet adaptors bs 1363, 13 plugs, socket-outlets, adapters and connection units bs 4177, specification for cooker control units bs 4444, guide to electrical earth monitoring and protective conductor proving bs 4573, specification for 2-pin reversible plugs and shaver socket-outlets bs 4607, non-metallic conduits and fittings for electrical installations  specification for fittings and components of insulating material bs 4662, boxes for flush mounting of electrical accessories  requirements, test methods and dimensions"
4927,earthing,"dubai building code part k villas execution of geotechnical works k.3.5.5.3 astm d1195m standard test method for repetitive static plate load rests of soils and flexible pavement components, for use in evaluation and design of airport and highway pavements astm d5778 standard test method for electronic friction cone and piezocone penetration testing of soils bs en 1536, execution of special geotechnical works  bored piles bs en 1537, execution of special geotechnical works  ground anchors bs en 1538, execution of special geotechnical works  diaphragm walls bs en 12063, execution of special geotechnical works sheet piles walls bs en 12699, execution of special geotechnical works  displacement piles bs en 12715, execution of special geotechnical works  grouting bs en 12716, execution of special geotechnical works  jet grouting bs en 14199, execution of special geotechnical works  micro piles bs en 14475, execution of special geotechnical works  reinforced fill bs en 14490, execution of special geotechnical works  soil nailing k 22 bs en 14679, execution of special geotechnical works  deep soil mixing bs 5733, general requirements for electrical accessories  specification bs en 14731, execution of special geotechnical works  ground treatment by deep vibrations bs en 15237, execution of special geotechnical works  vertical drains bs 6004, electric cables  pvc insulated and pvc sheathed cables for voltages up to and including 300/500 v, for electric power and lighting bs 6121, mechanical cable glands k.3.6 incoming utilities electrical k.3.6.1 bs 546, specification  two-pole and earthing-pin plugs, socket-outlets and socket-outlet adaptors bs 1363, 13 plugs, socket-outlets, adapters and connection units bs 4177, specification for cooker control units bs 4444, guide to electrical earth monitoring and protective conductor proving bs 4573, specification for 2-pin reversible plugs and shaver socket-outlets bs 4607, non-metallic conduits and fittings for electrical installations  specification for fittings and components of insulating material bs 4662, boxes for flush mounting of electrical accessories  requirements, test methods and dimensions"
4928,grout,"dubai building code part k villas execution of geotechnical works k.3.5.5.3 astm d1195m standard test method for repetitive static plate load rests of soils and flexible pavement components, for use in evaluation and design of airport and highway pavements astm d5778 standard test method for electronic friction cone and piezocone penetration testing of soils bs en 1536, execution of special geotechnical works  bored piles bs en 1537, execution of special geotechnical works  ground anchors bs en 1538, execution of special geotechnical works  diaphragm walls bs en 12063, execution of special geotechnical works sheet piles walls bs en 12699, execution of special geotechnical works  displacement piles bs en 12715, execution of special geotechnical works  grouting bs en 12716, execution of special geotechnical works  jet grouting bs en 14199, execution of special geotechnical works  micro piles bs en 14475, execution of special geotechnical works  reinforced fill bs en 14490, execution of special geotechnical works  soil nailing k 22 bs en 14679, execution of special geotechnical works  deep soil mixing bs 5733, general requirements for electrical accessories  specification bs en 14731, execution of special geotechnical works  ground treatment by deep vibrations bs en 15237, execution of special geotechnical works  vertical drains bs 6004, electric cables  pvc insulated and pvc sheathed cables for voltages up to and including 300/500 v, for electric power and lighting bs 6121, mechanical cable glands k.3.6 incoming utilities electrical k.3.6.1 bs 546, specification  two-pole and earthing-pin plugs, socket-outlets and socket-outlet adaptors bs 1363, 13 plugs, socket-outlets, adapters and connection units bs 4177, specification for cooker control units bs 4444, guide to electrical earth monitoring and protective conductor proving bs 4573, specification for 2-pin reversible plugs and shaver socket-outlets bs 4607, non-metallic conduits and fittings for electrical installations  specification for fittings and components of insulating material bs 4662, boxes for flush mounting of electrical accessories  requirements, test methods and dimensions"
4929,vibration,"dubai building code part k villas execution of geotechnical works k.3.5.5.3 astm d1195m standard test method for repetitive static plate load rests of soils and flexible pavement components, for use in evaluation and design of airport and highway pavements astm d5778 standard test method for electronic friction cone and piezocone penetration testing of soils bs en 1536, execution of special geotechnical works  bored piles bs en 1537, execution of special geotechnical works  ground anchors bs en 1538, execution of special geotechnical works  diaphragm walls bs en 12063, execution of special geotechnical works sheet piles walls bs en 12699, execution of special geotechnical works  displacement piles bs en 12715, execution of special geotechnical works  grouting bs en 12716, execution of special geotechnical works  jet grouting bs en 14199, execution of special geotechnical works  micro piles bs en 14475, execution of special geotechnical works  reinforced fill bs en 14490, execution of special geotechnical works  soil nailing k 22 bs en 14679, execution of special geotechnical works  deep soil mixing bs 5733, general requirements for electrical accessories  specification bs en 14731, execution of special geotechnical works  ground treatment by deep vibrations bs en 15237, execution of special geotechnical works  vertical drains bs 6004, electric cables  pvc insulated and pvc sheathed cables for voltages up to and including 300/500 v, for electric power and lighting bs 6121, mechanical cable glands k.3.6 incoming utilities electrical k.3.6.1 bs 546, specification  two-pole and earthing-pin plugs, socket-outlets and socket-outlet adaptors bs 1363, 13 plugs, socket-outlets, adapters and connection units bs 4177, specification for cooker control units bs 4444, guide to electrical earth monitoring and protective conductor proving bs 4573, specification for 2-pin reversible plugs and shaver socket-outlets bs 4607, non-metallic conduits and fittings for electrical installations  specification for fittings and components of insulating material bs 4662, boxes for flush mounting of electrical accessories  requirements, test methods and dimensions"
4930,armoured cables,"bs 5467, electric cables  thermosetting insulated, armoured cables of rated voltages of 600/1,000 v and 1,900/3,300 v for fixed installations bs 6231, electric cables  single core pvc insulated flexible cables of rated voltage 600/1,000 v for switchgear and controlgear wiring bs 6724, electric cables  thermosetting insulated, armoured cables of rated voltages of 600/1,000 v and 1,900/3,300 v, having low emission of smoke and corrosive gases when affected by fire  specification bs 7211, electric cables  thermosetting insulated and thermoplastic sheathed cables for voltages up to and including 450/750 v for electric power and lighting and having low emission of smoke and corrosive gases when affected by fire bs 7430, code of practice for protective earthing of electrical installations bs 7629-1, electric cables  specification for 300/500 v fire-resistant, screened, fixed installation cables having low emission of smoke and corrosive gases when affected by fire  part 1 multicore cables bs 7671, requirements for electrical installations  iet wiring regulations bs 7769, electric cables  calculation of current rating dubai building code part k villas bs 7846, electric cables  thermosetting insulated, armoured, fire-resistant cables of rated voltage 600/1,000 v for fixed installations, having low emission of smoke and corrosive gases when affected by fire  specification bs 7889, electric cables  thermosetting insulated, non-armoured cables with voltage of 600/1,000 v, for fixed installations bs 8436, electric cables  specification for 300/500 v screened electrical cables having low emission of smoke and corrosive gases when affected by fire, for use in walls, partitions and building voids  multicore cables bs en 13501-1, fire classification of construction products and building elements  part 1 classification using data from reaction to fire tests bs en 50085, cable trunking systems and cable ducting systems for electrical installations bs en 50214, flat polyvinyl chloride sheathed flexible cables bs en 50522, earthing of power installations exceeding 1 kv a.c"
4931,ducts,"bs 5467, electric cables  thermosetting insulated, armoured cables of rated voltages of 600/1,000 v and 1,900/3,300 v for fixed installations bs 6231, electric cables  single core pvc insulated flexible cables of rated voltage 600/1,000 v for switchgear and controlgear wiring bs 6724, electric cables  thermosetting insulated, armoured cables of rated voltages of 600/1,000 v and 1,900/3,300 v, having low emission of smoke and corrosive gases when affected by fire  specification bs 7211, electric cables  thermosetting insulated and thermoplastic sheathed cables for voltages up to and including 450/750 v for electric power and lighting and having low emission of smoke and corrosive gases when affected by fire bs 7430, code of practice for protective earthing of electrical installations bs 7629-1, electric cables  specification for 300/500 v fire-resistant, screened, fixed installation cables having low emission of smoke and corrosive gases when affected by fire  part 1 multicore cables bs 7671, requirements for electrical installations  iet wiring regulations bs 7769, electric cables  calculation of current rating dubai building code part k villas bs 7846, electric cables  thermosetting insulated, armoured, fire-resistant cables of rated voltage 600/1,000 v for fixed installations, having low emission of smoke and corrosive gases when affected by fire  specification bs 7889, electric cables  thermosetting insulated, non-armoured cables with voltage of 600/1,000 v, for fixed installations bs 8436, electric cables  specification for 300/500 v screened electrical cables having low emission of smoke and corrosive gases when affected by fire, for use in walls, partitions and building voids  multicore cables bs en 13501-1, fire classification of construction products and building elements  part 1 classification using data from reaction to fire tests bs en 50085, cable trunking systems and cable ducting systems for electrical installations bs en 50214, flat polyvinyl chloride sheathed flexible cables bs en 50522, earthing of power installations exceeding 1 kv a.c"
4932,earthing,"bs 5467, electric cables  thermosetting insulated, armoured cables of rated voltages of 600/1,000 v and 1,900/3,300 v for fixed installations bs 6231, electric cables  single core pvc insulated flexible cables of rated voltage 600/1,000 v for switchgear and controlgear wiring bs 6724, electric cables  thermosetting insulated, armoured cables of rated voltages of 600/1,000 v and 1,900/3,300 v, having low emission of smoke and corrosive gases when affected by fire  specification bs 7211, electric cables  thermosetting insulated and thermoplastic sheathed cables for voltages up to and including 450/750 v for electric power and lighting and having low emission of smoke and corrosive gases when affected by fire bs 7430, code of practice for protective earthing of electrical installations bs 7629-1, electric cables  specification for 300/500 v fire-resistant, screened, fixed installation cables having low emission of smoke and corrosive gases when affected by fire  part 1 multicore cables bs 7671, requirements for electrical installations  iet wiring regulations bs 7769, electric cables  calculation of current rating dubai building code part k villas bs 7846, electric cables  thermosetting insulated, armoured, fire-resistant cables of rated voltage 600/1,000 v for fixed installations, having low emission of smoke and corrosive gases when affected by fire  specification bs 7889, electric cables  thermosetting insulated, non-armoured cables with voltage of 600/1,000 v, for fixed installations bs 8436, electric cables  specification for 300/500 v screened electrical cables having low emission of smoke and corrosive gases when affected by fire, for use in walls, partitions and building voids  multicore cables bs en 13501-1, fire classification of construction products and building elements  part 1 classification using data from reaction to fire tests bs en 50085, cable trunking systems and cable ducting systems for electrical installations bs en 50214, flat polyvinyl chloride sheathed flexible cables bs en 50522, earthing of power installations exceeding 1 kv a.c"
4933,trunking,"bs 5467, electric cables  thermosetting insulated, armoured cables of rated voltages of 600/1,000 v and 1,900/3,300 v for fixed installations bs 6231, electric cables  single core pvc insulated flexible cables of rated voltage 600/1,000 v for switchgear and controlgear wiring bs 6724, electric cables  thermosetting insulated, armoured cables of rated voltages of 600/1,000 v and 1,900/3,300 v, having low emission of smoke and corrosive gases when affected by fire  specification bs 7211, electric cables  thermosetting insulated and thermoplastic sheathed cables for voltages up to and including 450/750 v for electric power and lighting and having low emission of smoke and corrosive gases when affected by fire bs 7430, code of practice for protective earthing of electrical installations bs 7629-1, electric cables  specification for 300/500 v fire-resistant, screened, fixed installation cables having low emission of smoke and corrosive gases when affected by fire  part 1 multicore cables bs 7671, requirements for electrical installations  iet wiring regulations bs 7769, electric cables  calculation of current rating dubai building code part k villas bs 7846, electric cables  thermosetting insulated, armoured, fire-resistant cables of rated voltage 600/1,000 v for fixed installations, having low emission of smoke and corrosive gases when affected by fire  specification bs 7889, electric cables  thermosetting insulated, non-armoured cables with voltage of 600/1,000 v, for fixed installations bs 8436, electric cables  specification for 300/500 v screened electrical cables having low emission of smoke and corrosive gases when affected by fire, for use in walls, partitions and building voids  multicore cables bs en 13501-1, fire classification of construction products and building elements  part 1 classification using data from reaction to fire tests bs en 50085, cable trunking systems and cable ducting systems for electrical installations bs en 50214, flat polyvinyl chloride sheathed flexible cables bs en 50522, earthing of power installations exceeding 1 kv a.c"
4934,conduits and fittings,"bs en 50525, electric cables  low voltage energy cables of rated voltages up to and including 450/750 v (u0/u) bs en 60079, explosive atmospheres bs en 60204, safety of machinery  electrical equipment of machines k 23 bs en 60269, low-voltage fuses  general requirements bs en 61140, protection against electric shock  common aspects for installation and equipment bs en 60309, plugs, socket-outlets and couplers for industrial purposes bs en 60335-2, household and similar electrical appliances  part 2 safety bs en 60423, conduit systems for cable management  outside diameters of conduits for electrical installations and threads for conduits and fittings bs en 60570, electrical supply track systems for luminaires bs en 60669, switches for household and similar fixed-electrical installations bs en 60898, electrical accessories  circuit-breakers for overcurrent protection for household and similar installations bs en 60947, low-voltage switch gear and controlgear bs en 61008-1, residual current operated circuit- breakers without integral overcurrent protection for household and similar uses (rccbs)  part 1 general rules bs en 61009-1, residual current operated circuit- breakers with integral overcurrent protection for household and similar uses (rcbos)  part 1 general rules bs en 61386, conduit systems for cable management bs en 61439, low-voltage switchgear and controlgear assemblies bs en 61535, installation couplers intended for permanent connection in fixed installations bs en 61537, cable management bs en 61558, safety of transformers, reactors, power supply units and combinations thereof bs en 62423, type f and type b residual current operated circuit-breakers with and without integral overcurrent protection for household and similar uses bs en 62606, general requirements for arc fault detection devices iec 60038, iec standard voltages iec 60364, low voltage electrical installations iec 61140, protection against electric shock  common aspects for installation and equipment iec 61439, low-voltage switchgear and controlgear assemblies ref. k.29 institution of engineering and technology, 2018. electricians guide to building regulations. 5th edition. stevenage iet"
4935,electrical supply,"bs en 50525, electric cables  low voltage energy cables of rated voltages up to and including 450/750 v (u0/u) bs en 60079, explosive atmospheres bs en 60204, safety of machinery  electrical equipment of machines k 23 bs en 60269, low-voltage fuses  general requirements bs en 61140, protection against electric shock  common aspects for installation and equipment bs en 60309, plugs, socket-outlets and couplers for industrial purposes bs en 60335-2, household and similar electrical appliances  part 2 safety bs en 60423, conduit systems for cable management  outside diameters of conduits for electrical installations and threads for conduits and fittings bs en 60570, electrical supply track systems for luminaires bs en 60669, switches for household and similar fixed-electrical installations bs en 60898, electrical accessories  circuit-breakers for overcurrent protection for household and similar installations bs en 60947, low-voltage switch gear and controlgear bs en 61008-1, residual current operated circuit- breakers without integral overcurrent protection for household and similar uses (rccbs)  part 1 general rules bs en 61009-1, residual current operated circuit- breakers with integral overcurrent protection for household and similar uses (rcbos)  part 1 general rules bs en 61386, conduit systems for cable management bs en 61439, low-voltage switchgear and controlgear assemblies bs en 61535, installation couplers intended for permanent connection in fixed installations bs en 61537, cable management bs en 61558, safety of transformers, reactors, power supply units and combinations thereof bs en 62423, type f and type b residual current operated circuit-breakers with and without integral overcurrent protection for household and similar uses bs en 62606, general requirements for arc fault detection devices iec 60038, iec standard voltages iec 60364, low voltage electrical installations iec 61140, protection against electric shock  common aspects for installation and equipment iec 61439, low-voltage switchgear and controlgear assemblies ref. k.29 institution of engineering and technology, 2018. electricians guide to building regulations. 5th edition. stevenage iet"
4936,switches,"bs en 50525, electric cables  low voltage energy cables of rated voltages up to and including 450/750 v (u0/u) bs en 60079, explosive atmospheres bs en 60204, safety of machinery  electrical equipment of machines k 23 bs en 60269, low-voltage fuses  general requirements bs en 61140, protection against electric shock  common aspects for installation and equipment bs en 60309, plugs, socket-outlets and couplers for industrial purposes bs en 60335-2, household and similar electrical appliances  part 2 safety bs en 60423, conduit systems for cable management  outside diameters of conduits for electrical installations and threads for conduits and fittings bs en 60570, electrical supply track systems for luminaires bs en 60669, switches for household and similar fixed-electrical installations bs en 60898, electrical accessories  circuit-breakers for overcurrent protection for household and similar installations bs en 60947, low-voltage switch gear and controlgear bs en 61008-1, residual current operated circuit- breakers without integral overcurrent protection for household and similar uses (rccbs)  part 1 general rules bs en 61009-1, residual current operated circuit- breakers with integral overcurrent protection for household and similar uses (rcbos)  part 1 general rules bs en 61386, conduit systems for cable management bs en 61439, low-voltage switchgear and controlgear assemblies bs en 61535, installation couplers intended for permanent connection in fixed installations bs en 61537, cable management bs en 61558, safety of transformers, reactors, power supply units and combinations thereof bs en 62423, type f and type b residual current operated circuit-breakers with and without integral overcurrent protection for household and similar uses bs en 62606, general requirements for arc fault detection devices iec 60038, iec standard voltages iec 60364, low voltage electrical installations iec 61140, protection against electric shock  common aspects for installation and equipment iec 61439, low-voltage switchgear and controlgear assemblies ref. k.29 institution of engineering and technology, 2018. electricians guide to building regulations. 5th edition. stevenage iet"
4937,earthing,"dubai building code part k villas ref. k.30 institution of engineering and technology, 2018. guidance note 8 earthing and bonding. 4th edition. stevenage iet"
4938,air filters,"telecommunications k.3.6.2 bs en 13501-6, fire classification of construction products and building elements  part 6 classification using data from reaction to fire tests on power, control and communication cables iec/en 60332-1-2, tests on electrical and optical fibre cables under fire conditions  test for vertical flame propagation for single wire of cable  procedure for 1kw pre-mixed flame iso/iec 11801-1, information technology  generic cabling for customer premises  part 1 general requirements iso/iec 11801-4, information technology  generic cabling for customer premises  part 4 single-tenant homes iso/iec 14763-1, information technology  implementation and operation of customer premises cabling  part 1 administration iso/iec 14763-2, information technology  implementation and operation of customer premises cabling  part 2 planning and installation iso/iec 30129, information technology  telecommunications bonding networks for buildings and other structures itu-t g.657 characteristics of bending-loss insensitive single-mode optical fibre and cable ref. k.31 telecommunication regulatory authority, undated. in-building telecommunication network  specification manual guidelines for fttx in new buildings. united arab emirates tra. k.3.7 indoor environment k.3.7.1 hvac systems and occupant comfort ansi/ul 181, standard for factory-made air ducts and air connectors ashrae 15, safety standard for refrigeration systems ashrae 62.2, ventilation and acceptable indoor air quality in residential buildings ashrae 90.12019, energy standard for buildings except low-rise residential buildings ashrae 90.22018, energy efficient design of low-rise residential buildings ashrae 111, measurement, testing, adjusting, and balancing of building hvac systems ashrae 1692013, climatic data for building design standards astm e84, standard test method for surface burning characteristics of building materials astm e2231, standard practice for specimen preparation and mounting of pipe and duct insulation materials to assess surface burning characteristics k 24 bs 5422, method for specifying thermal insulating materials for pipes, tanks, vessels, ductwork and equipment operating within temperature range  40 c to +700 c iso 16890-1, air filters for general ventilation  part 1 technical specifications, requirements and classification system based upon particulate matter efficiency (epm) smacna, hvac duct construction standards, depending on specific application ul 586, standard for safety for high-efficiency, particulate, air filter units ul 723, standard for test for surface burning characteristics of building materials ul 867, standard for electrostatic air cleaners ul 900, standard for air filter units uae.s 5010-12019, labelling  energy efficiency label for electrical appliances  part 1 household air-conditioners ref. k.32 ashrae, 2019. ashrae handbook  hvac applications. atlanta american society of heating, refrigerating and air-conditioning engineers inc ref. k.33 ashrae, 2017. ashrae handbook  fundamentals. atlanta american society of heating, refrigerating and air-conditioning engineers inc"
4939,ducts,"telecommunications k.3.6.2 bs en 13501-6, fire classification of construction products and building elements  part 6 classification using data from reaction to fire tests on power, control and communication cables iec/en 60332-1-2, tests on electrical and optical fibre cables under fire conditions  test for vertical flame propagation for single wire of cable  procedure for 1kw pre-mixed flame iso/iec 11801-1, information technology  generic cabling for customer premises  part 1 general requirements iso/iec 11801-4, information technology  generic cabling for customer premises  part 4 single-tenant homes iso/iec 14763-1, information technology  implementation and operation of customer premises cabling  part 1 administration iso/iec 14763-2, information technology  implementation and operation of customer premises cabling  part 2 planning and installation iso/iec 30129, information technology  telecommunications bonding networks for buildings and other structures itu-t g.657 characteristics of bending-loss insensitive single-mode optical fibre and cable ref. k.31 telecommunication regulatory authority, undated. in-building telecommunication network  specification manual guidelines for fttx in new buildings. united arab emirates tra. k.3.7 indoor environment k.3.7.1 hvac systems and occupant comfort ansi/ul 181, standard for factory-made air ducts and air connectors ashrae 15, safety standard for refrigeration systems ashrae 62.2, ventilation and acceptable indoor air quality in residential buildings ashrae 90.12019, energy standard for buildings except low-rise residential buildings ashrae 90.22018, energy efficient design of low-rise residential buildings ashrae 111, measurement, testing, adjusting, and balancing of building hvac systems ashrae 1692013, climatic data for building design standards astm e84, standard test method for surface burning characteristics of building materials astm e2231, standard practice for specimen preparation and mounting of pipe and duct insulation materials to assess surface burning characteristics k 24 bs 5422, method for specifying thermal insulating materials for pipes, tanks, vessels, ductwork and equipment operating within temperature range  40 c to +700 c iso 16890-1, air filters for general ventilation  part 1 technical specifications, requirements and classification system based upon particulate matter efficiency (epm) smacna, hvac duct construction standards, depending on specific application ul 586, standard for safety for high-efficiency, particulate, air filter units ul 723, standard for test for surface burning characteristics of building materials ul 867, standard for electrostatic air cleaners ul 900, standard for air filter units uae.s 5010-12019, labelling  energy efficiency label for electrical appliances  part 1 household air-conditioners ref. k.32 ashrae, 2019. ashrae handbook  hvac applications. atlanta american society of heating, refrigerating and air-conditioning engineers inc ref. k.33 ashrae, 2017. ashrae handbook  fundamentals. atlanta american society of heating, refrigerating and air-conditioning engineers inc"
4940,indoor air quality,"telecommunications k.3.6.2 bs en 13501-6, fire classification of construction products and building elements  part 6 classification using data from reaction to fire tests on power, control and communication cables iec/en 60332-1-2, tests on electrical and optical fibre cables under fire conditions  test for vertical flame propagation for single wire of cable  procedure for 1kw pre-mixed flame iso/iec 11801-1, information technology  generic cabling for customer premises  part 1 general requirements iso/iec 11801-4, information technology  generic cabling for customer premises  part 4 single-tenant homes iso/iec 14763-1, information technology  implementation and operation of customer premises cabling  part 1 administration iso/iec 14763-2, information technology  implementation and operation of customer premises cabling  part 2 planning and installation iso/iec 30129, information technology  telecommunications bonding networks for buildings and other structures itu-t g.657 characteristics of bending-loss insensitive single-mode optical fibre and cable ref. k.31 telecommunication regulatory authority, undated. in-building telecommunication network  specification manual guidelines for fttx in new buildings. united arab emirates tra. k.3.7 indoor environment k.3.7.1 hvac systems and occupant comfort ansi/ul 181, standard for factory-made air ducts and air connectors ashrae 15, safety standard for refrigeration systems ashrae 62.2, ventilation and acceptable indoor air quality in residential buildings ashrae 90.12019, energy standard for buildings except low-rise residential buildings ashrae 90.22018, energy efficient design of low-rise residential buildings ashrae 111, measurement, testing, adjusting, and balancing of building hvac systems ashrae 1692013, climatic data for building design standards astm e84, standard test method for surface burning characteristics of building materials astm e2231, standard practice for specimen preparation and mounting of pipe and duct insulation materials to assess surface burning characteristics k 24 bs 5422, method for specifying thermal insulating materials for pipes, tanks, vessels, ductwork and equipment operating within temperature range  40 c to +700 c iso 16890-1, air filters for general ventilation  part 1 technical specifications, requirements and classification system based upon particulate matter efficiency (epm) smacna, hvac duct construction standards, depending on specific application ul 586, standard for safety for high-efficiency, particulate, air filter units ul 723, standard for test for surface burning characteristics of building materials ul 867, standard for electrostatic air cleaners ul 900, standard for air filter units uae.s 5010-12019, labelling  energy efficiency label for electrical appliances  part 1 household air-conditioners ref. k.32 ashrae, 2019. ashrae handbook  hvac applications. atlanta american society of heating, refrigerating and air-conditioning engineers inc ref. k.33 ashrae, 2017. ashrae handbook  fundamentals. atlanta american society of heating, refrigerating and air-conditioning engineers inc"
