,Sentences
9023,"groups of towers, a villa compound etc)    Hotels    Department stores and supermarkets    Shops selling precious goods    14 Military and hunting equipment stores    15    Vehicle rental facilities    16 Warehouses    17 Warehouses of hazardous and precious substances    18    Self-storage    19 Manufacture and sale of precious metals/stones    20    21    22    Hazardous substances factories    Robotic storage    Shopping centres and malls    23 Motor fuel dispensing facilities    Table J.1 Security requirements by building type    Table J.1 summarizes  when VSS,  control rooms,  EACS, alarm and IDS,  and HVM are required  within each building  type."
9024,J 6    VSS required?
9025,Control room  required?
9026,EACS required?
9027,Alarm and IDS  required?
9028,HVM required?
9029,d    f    g    d    j    a    e    h    i    c    j    b    k    Dubai Building Code    Part J: Security     NOTES:    a    Recreation parks    EACS    h    Hotels    EACS    Access control systems are required in waterparks at the following locations: chemicals storage  rooms and water treatment rooms.
9030,b    Recreation parks    In front of the main gates and the areas where guests and visitors gather.
9031,c    Art galleries    Applies to art galleries with a piece of art that is worth more than 1 M AED.
9032,"HVM    Alarm and IDS    i    j    For entering rooms in three, four, five-star hotels, luxury and tourist hotel apartments."
9033,"This shall  include the following features: log in and out on the lock with at least 3,000 actions; links all locks  to a central system and keeps records of actions for at least six months."
9034,Shops selling precious goods    EACS    In the cashier areas and its affiliated rooms.
9035,"Shops selling precious goods    Alarm and IDS    If the establishment displays items worth more than 100,000 AED."
9036,k Malls    HVM    In front of the main gates and the areas where guests and visitors gather.
9037,"EACS    VSS    VSS    Shooting ranges and military and hunting equipment stores    VSS    Range scheduling, membership management and registration software shall be used."
9038,d    e    f    Financial and monetary institutions    In the cashier areas and its affiliated rooms.
9039,SIM card shops    Dedicated tables shall be provided to sell/display SIM cards and mobile phones.
9040,"g    Hotels    Three, four and five-star hotels and luxury and tourist hotel apartments only shall use a digital  VSS."
9041,J 7    Dubai Building Code    Part J: Security     J.6    VSS requirements by building type    Table J.2 provides a summary of the VSS operational requirements for fixed coloured cameras in each building type.
9042,"s  e  r  t  a  e  h  t  d  n  a  s  a  m  e  n  C    i    R    R    R    R    R    D    R    I    s  k  r  a  p  n  o  i  t  a  e  r  c  e  R    R    R    R    R    D    R    I    On sales and cashier desks    On all reception and assistance desks    Inside elevators towards the elevator  panel containing floor numbers (wide  angle)    In elevator lobbies    In stairways    On the landing area of the stairs and  escalators    On main entrance lobby    On lobbies associated with other  entrances to the building    On all emergency exits among/  between floors    On all emergency exit discharge doors    y  r  a  t  e  n  o  m  d  n  a    l    a  i  c  n  a  n  F    i    s  p  o  h  s  s  e  c  i  v  r  e  s  t  e  n  r  e  t  n  I    s  n  o  i  t  u  t  i  t  s  n    i    s  p  o  h  s  d  r  a  c  M  S    I    R    R    s  e  g  n  a  r  g  n  i  t  o  o  h  S    R    R    s  e  i  r  e  l  l    a  g  t  r  A    R    D    i    p  h  s  r  o  w    f  o  s  e  c  a  P    l    R    R    D    D    I    I    I    I    n  o  i  t  a  d  o  m  m  o  c  c  a  r  u  o  b  a    l    d  n  a  f  f  a  t  S    R    R    R    R    D    R    I    s  p  u  o  r  g    .    .    g  e  (  s  e  x  e  l  p  m  o  c  t  n  a  t  r  o  p  m    I    R    R    R    R    D    R    I    s  e  i  t  i  l  i  c  a  f  g  n  i  s  n  e  p  s  i  d    l  e  u  f    r  o  t  o  M    R    )  c  t  e  d  n  u  o  p  m  o  c  a    l  l  i  v  a    ,    s  r  e  w  o  t    f  o    s  l  e  t  o  H    R    R    R    R    D    R    I    s  d  o  o  g  s  u  o  i  c  e  r  p  g  n    i  l  l  e  s  s  p  o  h  S    R    d  n  a  s  e  r  o  t  s  t  n  e  m    t  r  a  p  e  D    R    s  t  e  k  r  a  m  r  e  p  u  s    d  n  a  s  u  o  d  r  a  z  a  h  f  o  s  e  s  u  o  h  e  r  a  W    s  e  c  n  a  t  s  b  u  s  s  u  o  i  c  e  r  p    s  e  s  u  o  h  e  r  a  W    e  g  a  r  o  t  s  -  f  l  e  S    s  e  i  r  o  t  c  a  f  s  e  c  n  a  t  s  b  u  s  s  u  o  d  r  a  z  a  H    s  u  o  i  c  e  r  p  f  o  e  l  a  s  d  n  a  e  r  u  t  c  a  f  u  n  a  M    R    s  e  n  o  t  s  /  s  l  a  t  e  m    e  g  a  r  o  t  s  c  i  t  o  b  o  R    R    R    R    R    R    s  e  i  t  i  l  i  c  a  f    l    a  t  n  e  r  e  l  c  i  h  e  V    R    R    s  e  r  o  t  s    i    t  n  e  m  p  u  q  e  g  n  i  t  n  u  h  d  n  a  y  r  a  t  i  l  i    M    R    R    D    D    D    I    I    I    I    I    I    I    I    I    I    s  l  l    a  m  d  n  a  s  e  r  t  n  e  c  g  n  p  p  o  h  S    i    R    R    R    R    D    R    I    Table J.2 VSS operational requirements for fixed coloured cameras by building type    I: Identification, R: Recognition, R1: Recognition and inside ATM, R2: Recognition on entrance, D: Detection, D1: Detection leading  to residential units, D2: Detection and IR for night vision, D3: Detection and PTZ to support, D4: Detection on water tanks,  D5: Detection on units, ANPR: Automatic number plate recognition, IR: Infrared, PTZ: Pan, tilt, zoom    J 8    Dubai Building Code    Part J: Security                                                                                                                         n  o  i  t  a  d  o  m  m  o  c  c  a  r  u  o  b  a    l    d  n  a  f  f  a  t  S    s  p  o  h  s  s  e  c  i  v  r  e  s  t  e  n  r  e  t  n  I    s  n  o  i  t  u  t  i  t  s  n    i    s  p  o  h  s  d  r  a  c  M  S    I    y  r  a  t  e  n  o  m  d  n  a    l    a  i  c  n  a  n  F    i    s  p  u  o  r  g    .    .    g  e  (  s  e  x  e  l  p  m  o  c  t  n  a  t  r  o  p  m    I    I    I    I    I    R    D    R    D    s  e  r  t  a  e  h  t  d  n  a  s  a  m  e  n  C    i    I    s  k  r  a  p  n  o  i  t  a  e  r  c  e  R    I    s  e  i  r  e  l  l    a  g  t  r  A    I    s  e  g  n  a  r  g  n  i  t  o  o  h  S    I    i    p  h  s  r  o  w    f  o  s  e  c  a  P    l    I    On all entrances    On entrances to bars, discos,  nightclubs and ballrooms    On all entrances to business centres    Inside business centres    On gym entrances    On swimming pool and pool deck    On seating area and projector room    D    On seating and waiting areas    D    D    On indoor area    On safe (money) and bag deposit  rooms    R    On safe maintenance entrances and  routes leading to those entrances    On viewing area    On secure area    R    d  n  a  s  e  r  o  t  s  t  n  e  m    t  r  a  p  e  D    I    s  t  e  k  r  a  m  r  e  p  u  s    )  c  t  e  d  n  u  o  p  m  o  c  a    l  l  i  v  a    ,    s  r  e  w  o  t    f  o    s  l  e  t  o  H    I    I    R    D    R    D    R    i    t  n  e  m  p  u  q  e  g  n  i  t  n  u  h  d  n  a  y  r  a  t  i  l  i    M    s  e  i  t  i  l  i  c  a  f    l    a  t  n  e  r  e  l  c  i  h  e  V    s  e  r  o  t  s    s  d  o  o  g  s  u  o  i  c  e  r  p  g  n    i  l  l  e  s  s  p  o  h  S    I    I    I    d  n  a  s  u  o  d  r  a  z  a  h  f  o  s  e  s  u  o  h  e  r  a  W    I    s  e  c  n  a  t  s  b  u  s  s  u  o  i  c  e  r  p    e  g  a  r  o  t  s  -  f  l  e  S    I    s  e  s  u  o  h  e  r  a  W    I    s  u  o  i  c  e  r  p  f  o  e  l  a  s  d  n  a  e  r  u  t  c  a  f  u  n  a  M    I    s  e  n  o  t  s  /  s  l  a  t  e  m    s  e  i  r  o  t  c  a  f  s  e  c  n  a  t  s  b  u  s  s  u  o  d  r  a  z  a  H    I    D    D    D    D    D    R    D    R    s  e  i  t  i  l  i  c  a  f  g  n  i  s  n  e  p  s  i  d    l  e  u  f    r  o  t  o  M    s  l  l    a  m  d  n  a  s  e  r  t  n  e  c  g  n  p  p  o  h  S    i    I    I    D    R    e  g  a  r  o  t  s  c  i  t  o  b  o  R    I    I    D    Table J.2 VSS operational requirements for fixed coloured cameras by building type  (continued)    I: Identification, R: Recognition, R1: Recognition and inside ATM, R2: Recognition on entrance, D: Detection, D1: Detection leading  to residential units, D2: Detection and IR for night vision, D3: Detection and PTZ to support, D4: Detection on water tanks,  D5: Detection on units, ANPR: Automatic number plate recognition, IR: Infrared, PTZ: Pan, tilt, zoom    J 9    Dubai Building Code    Part J: Security                                                                                                                         n  o  i  t  a  d  o  m  m  o  c  c  a  r  u  o  b  a    l    d  n  a  f  f  a  t  S    s  p  o  h  s  s  e  c  i  v  r  e  s  t  e  n  r  e  t  n  I    s  n  o  i  t  u  t  i  t  s  n    i    s  p  o  h  s  d  r  a  c  M  S    I    y  r  a  t  e  n  o  m  d  n  a    l    a  i  c  n  a  n  F    i    s  p  u  o  r  g    .    .    g  e  (  s  e  x  e  l  p  m  o  c  t  n  a  t  r  o  p  m    I    )  c  t  e  d  n  u  o  p  m  o  c  a    l  l  i  v  a    ,    s  r  e  w  o  t    f  o    R1    D    D1    i    p  h  s  r  o  w    f  o  s  e  c  a  P    l    s  e  i  r  e  l  l    a  g  t  r  A    s  e  g  n  a  r  g  n  i  t  o  o  h  S    D    D    s  e  r  t  a  e  h  t  d  n  a  s  a  m  e  n  C    i    R    D    D    D    s  k  r  a  p  n  o  i  t  a  e  r  c  e  R    R    D    D    D    i    t  n  e  m  p  u  q  e  g  n  i  t  n  u  h  d  n  a  y  r  a  t  i  l  i    M    d  n  a  s  u  o  d  r  a  z  a  h  f  o  s  e  s  u  o  h  e  r  a  W    s  e  c  n  a  t  s  b  u  s  s  u  o  i  c  e  r  p    e  g  a  r  o  t  s  -  f  l  e  S    s  u  o  i  c  e  r  p  f  o  e  l  a  s  d  n  a  e  r  u  t  c  a  f  u  n  a  M    s  e  n  o  t  s  /  s  l  a  t  e  m    s  e  i  t  i  l  i  c  a  f    l    a  t  n  e  r  e  l  c  i  h  e  V    s  e  r  o  t  s    s  e  s  u  o  h  e  r  a  W    s  e  i  r  o  t  c  a  f  s  e  c  n  a  t  s  b  u  s  s  u  o  d  r  a  z  a  H    D    e  g  a  r  o  t  s  c  i  t  o  b  o  R    s  d  o  o  g  s  u  o  i  c  e  r  p  g  n    i  l  l  e  s  s  p  o  h  S    d  n  a  s  e  r  o  t  s  t  n  e  m    t  r  a  p  e  D    s  t  e  k  r  a  m  r  e  p  u  s    s  l  e  t  o  H    R    D    D    D2    D    I    s  e  i  t  i  l  i  c  a  f  g  n  i  s  n  e  p  s  i  d    l  e  u  f    r  o  t  o  M    R    s  l  l    a  m  d  n  a  s  e  r  t  n  e  c  g  n  p  p  o  h  S    i    R    D    D    D    D    D    D    D    D    D    D    D    D    On ATMs, public phones and public  phone charging stations    All back and front of house corridors    On corridors to toilets    On corridors to prayer rooms    Inside men's prayer rooms    Corridors with restaurants/shops    Outdoor corridors    On the back entrances of hotel units  that overlook public areas (including  gardens and terraces)    On the external entrances of  restaurants, cafes and shops    External area (cameras view not less  than 110°)    On outdoor areas around building    On outdoor yards and surrounding  areas of the building    Table J.2 VSS operational requirements for fixed coloured cameras by building type  (continued)    I: Identification, R: Recognition, R1: Recognition and inside ATM, R2: Recognition on entrance, D: Detection, D1: Detection leading  to residential units, D2: Detection and IR for night vision, D3: Detection and PTZ to support, D4: Detection on water tanks,  D5: Detection on units, ANPR: Automatic number plate recognition, IR: Infrared, PTZ: Pan, tilt, zoom    J 10    Dubai Building Code    Part J: Security                                                                                                                         s  e  r  t  a  e  h  t  d  n  a  s  a  m  e  n  C    i    D    R    s  k  r  a  p  n  o  i  t  a  e  r  c  e  R    D3    D    R    R    R    R    D    On outdoor spaces, performance and  crowd gathering areas    On all outdoor toilets entrances    On car park pathways and driveways    On gas tanks storage area, liquefied  gas storage and filling areas    On electrical room entrances    In water tank rooms    On fresh air treatment unit (HVAC)  entrances    On fuel tanks backup generators    On doors of hazardous substances  containers    Vehicle fuel supply lines    Fuel refilling lines to main fuel tank    On SIM card and mobile phone tables    In display shelf aisles    n  o  i  t  a  d  o  m  m  o  c  c  a  r  u  o  b  a    l    d  n  a  f  f  a  t  S    s  p  o  h  s  s  e  c  i  v  r  e  s  t  e  n  r  e  t  n  I    s  n  o  i  t  u  t  i  t  s  n    i    s  p  o  h  s  d  r  a  c  M  S    I    y  r  a  t  e  n  o  m  d  n  a    l    a  i  c  n  a  n  F    i    s  e  g  n  a  r  g  n  i  t  o  o  h  S    i    p  h  s  r  o  w    f  o  s  e  c  a  P    l    s  e  i  r  e  l  l    a  g  t  r  A    s  p  u  o  r  g    .    .    g  e  (  s  e  x  e  l  p  m  o  c  t  n  a  t  r  o  p  m    I    D    D    D    D    d  n  a  s  u  o  d  r  a  z  a  h  f  o  s  e  s  u  o  h  e  r  a  W    s  e  c  n  a  t  s  b  u  s  s  u  o  i  c  e  r  p    e  g  a  r  o  t  s  -  f  l  e  S    s  u  o  i  c  e  r  p  f  o  e  l  a  s  d  n  a  e  r  u  t  c  a  f  u  n  a  M    s  e  n  o  t  s  /  s  l  a  t  e  m    s  e  i  r  o  t  c  a  f  s  e  c  n  a  t  s  b  u  s  s  u  o  d  r  a  z  a  H    e  g  a  r  o  t  s  c  i  t  o  b  o  R    s  e  i  t  i  l  i  c  a  f    l    a  t  n  e  r  e  l  c  i  h  e  V    s  e  r  o  t  s    s  e  s  u  o  h  e  r  a  W    i    t  n  e  m  p  u  q  e  g  n  i  t  n  u  h  d  n  a  y  r  a  t  i  l  i    M    s  d  o  o  g  s  u  o  i  c  e  r  p  g  n    i  l  l  e  s  s  p  o  h  S    d  n  a  s  e  r  o  t  s  t  n  e  m    t  r  a  p  e  D    s  t  e  k  r  a  m  r  e  p  u  s    )  c  t  e  d  n  u  o  p  m  o  c  a    l  l  i  v  a    ,    s  r  e  w  o  t    f  o    s  l  e  t  o  H    D    R    R    R    R    D    R    R    I, R    D    D    D    s  l  l    a  m  d  n  a  s  e  r  t  n  e  c  g  n  p  p  o  h  S    i    D3    D    R    R    R2, D4    R2, D5    D    s  e  i  t  i  l  i  c  a  f  g  n  i  s  n  e  p  s  i  d    l  e  u  f    r  o  t  o  M    R    D    D    D    Table J.2 VSS operational requirements for fixed coloured cameras by building type  (continued)    I: Identification, R: Recognition, R1: Recognition and inside ATM, R2: Recognition on entrance, D: Detection, D1: Detection leading  to residential units, D2: Detection and IR for night vision, D3: Detection and PTZ to support, D4: Detection on water tanks,  D5: Detection on units, ANPR: Automatic number plate recognition, IR: Infrared, PTZ: Pan, tilt, zoom    J 11    Dubai Building Code    Part J: Security                                                                                                                         y  r  a  t  e  n  o  m  d  n  a    l    a  i  c  n  a  n  F    i    n  o  i  t  a  d  o  m  m  o  c  c  a  r  u  o  b  a    l    d  n  a  f  f  a  t  S    s  p  o  h  s  d  r  a  c  M  S    I    s  n  o  i  t  u  t  i  t  s  n    i    s  p  o  h  s  s  e  c  i  v  r  e  s  t  e  n  r  e  t  n  I    D    s  e  r  t  a  e  h  t  d  n  a  s  a  m  e  n  C    i    s  k  r  a  p  n  o  i  t  a  e  r  c  e  R    s  e  g  n  a  r  g  n  i  t  o  o  h  S    i    p  h  s  r  o  w    f  o  s  e  c  a  P    l    s  e  i  r  e  l  l    a  g  t  r  A    D    D    R    R    D    On all display tables and showrooms    On all display tables and boxes  outside the establishment or displayed  elsewhere    On the games and computer tables    On all shooting ranges    Inside gun store    On the arms and ammunition  handover tables    On shelving aisles    On storage area    All places of worship    s  p  u  o  r  g    .    .    g  e  (  s  e  x  e  l  p  m  o  c  t  n  a  t  r  o  p  m    I    s  e  i  t  i  l  i  c  a  f  g  n  i  s  n  e  p  s  i  d    l  e  u  f    r  o  t  o  M    s  l  l    a  m  d  n  a  s  e  r  t  n  e  c  g  n  p  p  o  h  S    i    )  c  t  e  d  n  u  o  p  m  o  c  a    l  l  i  v  a    ,    s  r  e  w  o  t    f  o    s  l  e  t  o  H    s  d  o  o  g  s  u  o  i  c  e  r  p  g  n    i  l  l  e  s  s  p  o  h  S    D    d  n  a  s  e  r  o  t  s  t  n  e  m    t  r  a  p  e  D    D    s  t  e  k  r  a  m  r  e  p  u  s    i    t  n  e  m  p  u  q  e  g  n  i  t  n  u  h  d  n  a  y  r  a  t  i  l  i    M    d  n  a  s  u  o  d  r  a  z  a  h  f  o  s  e  s  u  o  h  e  r  a  W    s  e  c  n  a  t  s  b  u  s  s  u  o  i  c  e  r  p    e  g  a  r  o  t  s  -  f  l  e  S    s  e  i  t  i  l  i  c  a  f    l    a  t  n  e  r  e  l  c  i  h  e  V    s  e  r  o  t  s    s  e  s  u  o  h  e  r  a  W    s  e  i  r  o  t  c  a  f  s  e  c  n  a  t  s  b  u  s  s  u  o  d  r  a  z  a  H    e  g  a  r  o  t  s  c  i  t  o  b  o  R    s  u  o  i  c  e  r  p  f  o  e  l  a  s  d  n  a  e  r  u  t  c  a  f  u  n  a  M    R    R    s  e  n  o  t  s  /  s  l  a  t  e  m    D    D    D    D    On both the area and vehicle entrance  and exit of loading and unloading  areas    D    D,  ANPR    On both the area and vehicle entrance  and exits of passenger drop off areas    D,  ANPR    D,  ANPR    D    D,  ANPR    D    D    D    D,  ANPR    D,  ANPR    Table J.2 VSS operational requirements for fixed coloured cameras by building type  (continued)    I: Identification, R: Recognition, R1: Recognition and inside ATM, R2: Recognition on entrance, D: Detection, D1: Detection leading  to residential units, D2: Detection and IR for night vision, D3: Detection and PTZ to support, D4: Detection on water tanks,  D5: Detection on units, ANPR: Automatic number plate recognition, IR: Infrared, PTZ: Pan, tilt, zoom    J 12    Dubai Building Code    Part J: Security                                                                                                                         s  e  r  t  a  e  h  t  d  n  a  s  a  m  e  n  C    i    s  k  r  a  p  n  o  i  t  a  e  r  c  e  R    s  e  i  r  e  l  l    a  g  t  r  A    s  e  g  n  a  r  g  n  i  t  o  o  h  S    i    p  h  s  r  o  w    f  o  s  e  c  a  P    l    On vehicle entrances and exits    R,  ANPR    R,  ANPR    ANPR    n  o  i  t  a  d  o  m  m  o  c  c  a  r  u  o  b  a    l    d  n  a  f  f  a  t  S    s  p  o  h  s  s  e  c  i  v  r  e  s  t  e  n  r  e  t  n  I    s  n  o  i  t  u  t  i  t  s  n    i    s  p  o  h  s  d  r  a  c  M  S    I    y  r  a  t  e  n  o  m  d  n  a    l    a  i  c  n  a  n  F    i    s  p  u  o  r  g    .    .    g  e  (  s  e  x  e  l  p  m  o  c  t  n  a  t  r  o  p  m    I    s  d  o  o  g  s  u  o  i  c  e  r  p  g  n    i  l  l  e  s  s  p  o  h  S    d  n  a  s  e  r  o  t  s  t  n  e  m    t  r  a  p  e  D    s  t  e  k  r  a  m  r  e  p  u  s    )  c  t  e  d  n  u  o  p  m  o  c  a    l  l  i  v  a    ,    s  r  e  w  o  t    f  o    s  l  e  t  o  H    ANPR    i    t  n  e  m  p  u  q  e  g  n  i  t  n  u  h  d  n  a  y  r  a  t  i  l  i    M    d  n  a  s  u  o  d  r  a  z  a  h  f  o  s  e  s  u  o  h  e  r  a  W    s  e  c  n  a  t  s  b  u  s  s  u  o  i  c  e  r  p    e  g  a  r  o  t  s  -  f  l  e  S    s  u  o  i  c  e  r  p  f  o  e  l  a  s  d  n  a  e  r  u  t  c  a  f  u  n  a  M    s  e  n  o  t  s  /  s  l  a  t  e  m    s  e  i  r  o  t  c  a  f  s  e  c  n  a  t  s  b  u  s  s  u  o  d  r  a  z  a  H    e  g  a  r  o  t  s  c  i  t  o  b  o  R    s  e  i  t  i  l  i  c  a  f    l    a  t  n  e  r  e  l  c  i  h  e  V    s  e  r  o  t  s    s  e  s  u  o  h  e  r  a  W    ANPR ANPR    ANPR    On vehicle entrances and exits of car  parks    ANPR ANPR    ANPR ANPR    ANPR ANPR ANPR    s  e  i  t  i  l  i  c  a  f  g  n  i  s  n  e  p  s  i  d    l  e  u  f    r  o  t  o  M    s  l  l    a  m  d  n  a  s  e  r  t  n  e  c  g  n  p  p  o  h  S    i    R,  ANPR    ANPR    ANPR ANPR    Digital recording (days) for all cameras    31    31    31    31    31    31*    31    31    31    31    31    31    31    31    31    31    31    90    31    31    90    31    31    Central monitoring system  (VideoGuard) must be installed    Recording speed of outdoor cameras  (fps)    Yes    Yes    Yes    Yes    Yes    Yes    Yes    Yes    Yes+    Yes    Yes    Yes    Yes    Yes    Yes    Yes    Yes    Yes    Yes    Yes    Yes    Yes    * 75 days for ATM machines + more than 50 residential units    25    Table J.2 VSS operational requirements for fixed coloured cameras by building type  (continued)    I: Identification, R: Recognition, R1: Recognition and inside ATM, R2: Recognition on entrance, D: Detection, D1: Detection leading  to residential units, D2: Detection and IR for night vision, D3: Detection and PTZ to support, D4: Detection on water tanks,  D5: Detection on units, ANPR: Automatic number plate recognition, IR: Infrared, PTZ: Pan, tilt, zoom    J 13    Dubai Building Code    Part J: Security                                                                                                                         J.7    Fire and life safety    Electronic access control systems and any other locking system on exit doors shall be  in accordance with Table 3.2, Ch."
9043,3 of the UAE FLSC [Ref.
9044,J.2].
9045,J 14    Dubai Building Code    Part J: Security     K.1    K.2    K.3    K.4    K.5    K.6    K.7    K.8    K.9    Performance statements    Definitions    References    Scope    Architecture    Accessibility    Building envelope    Structure    Incoming utilities    K.10    Indoor environment    K.11    Security    K 1    Dubai Building Code    Part K    Villas     K.1    Performance statements    Section    Performance statement    Architecture    The building shall be appropriately  integrated with the surrounding natural  and built environment.
9046,"The building shall facilitate the safety,  convenience and welfare of building  occupants as they move in and around  the building, including access and  egress."
9047,The building shall provide minimum  communal provisions and facilities  for the health and welfare of building  occupants.
9048,"The performance  statement will be  met by following the  requirements of:    K.5.1 and K.5.2    K.5.3 and K.5.5    K.5.4, K.5.7 and K.5.8    The site shall provide appropriate access  and safe circulation for vehicles."
9049,K.5.6    Section    Performance statement    The performance  statement will be  met by following the  requirements of:    Building  envelope    The building envelope shall safely resist  the loads imposed upon it.
9050,The building envelope shall reduce the  energy required to cool the building.
9051,"The building envelope shall control  moisture to protect the building, its  users, its mechanical systems and its  contents from physical or chemical  damage."
9052,"The building envelope shall protect  occupants from falling from balconies,  roofs or through lightwells."
9053,"The building envelope shall provide  glazing that safely resists impact, whilst  incorporating measures to prevent  occupants colliding with the glazing."
9054,K.7.1    K.7.2    K.7.4    K.7.6    K.7.6    K 2    Dubai Building Code    Part K: Villas     The performance  statement will be  met by following the  requirements of:    K.8.1 to K.8.6    Section    Performance statement    The performance  statement will be  met by following the  requirements of:    Indoor  environment    The building shall provide fixed building  services that:    K.10.1    K.8.5 to K.8.6    K.8.1.4    K.9.1 to K.9.3    K.9.5    K.9.7    a) are energy-efficient;    b) have effective controls;    c) ensure optimal operational efficiency;    and    d) facilitate the health and comfort    of the occupants.
9055,The building shall provide a reliable  supply of safe water with sanitary  fittings selected to reduce water  consumption.
9056,The building shall provide drainage  systems to collect and convey drainage  flows in a safe and efficient manner.
9057,"The building shall safeguard people from  undue noise being transmitted from  adjacent spaces, occupancies and the  exterior."
9058,"K.10.2    K.10.4    K.10.5    Section    Performance statement    The building structure shall safely  sustain and transmit to the ground  the combined dead, imposed, thermal,  wind and seismic load conditions for its  intended life."
9059,The building structure shall provide a  structure that protects other property  from physical damage.
9060,The building structure shall provide  a structure that does not sustain  damage or collapse to an extent that is  disproportionate to the cause.
9061,The building shall provide electrical  installations that safeguard occupants  against the outbreak of fire and  personal injury due to electric shock.
9062,The building shall be provided with  metered water supplies to monitor  water consumption and inform water  conservation.
9063,The building shall enable  telecommunications services that are  suitably future-proof.
9064,Structure    Incoming  Utilities    K 3    Dubai Building Code    Part K: Villas     K.2 Definitions    K.2.1    General    The definitions in Part A apply.
9065,"K.2.2    Architecture    Affection plan: Plan of the plot or site issued by the  Authority, showing information that includes (but not  limited to) the plot boundaries, plot dimensions, plot  areas, plot setbacks and surroundings as well as the  land uses."
9066,Also called site plan.
9067,"Amenity area or space: Public or private area within  the boundaries of a plot or a development site for the  building occupant’s recreation or convenience (such as  landscaped areas, patios, swimming pools, play areas,  prayer rooms, exercise areas and similar uses)."
9068,"Annex: Building or installation, attached to or  independent from the main building, the use of which  is secondary or complementary to the function of the  main building."
9069,"Balcony: Covered or uncovered occupied projection or  partial projection outside the external walls, attached  to the building and accessed from the building interior  spaces (see Figure K.1)."
9070,Basement floor: Storey of a building wholly or partly  below the gate level that is not the first storey above  gate level.
9071,"A basement slab soffit level is not higher  than 1,500 mm above the building gate level."
9072,"K 4    Building projection: Projection or protrusion that  extends outside the vertical external wall of the floor  below, such as balconies."
9073,"Building setback: Horizontal distance between the  nearest part of any building or structure on the plot  above ground and the plot boundary, measured  perpendicular to the plot boundary."
9074,Clear width: Free unobstructed space for access.
9075,"Community: Single family dwelling units built in a  group by developer and sold, leased or rented to  individual families."
9076,Corridor: Enclosed component that defines and  provides a path of travel.
9077,"Courtyard: Open, uncovered space, unobstructed to  the sky, bounded on three or more sides by exterior  building walls or other enclosing devices as shown in  Figure K.2."
9078,"(a) all sides bounded courtyard    (b) 3 sides bounded courtyard    Figure K.2 Courtyard    Figure K.1 Balcony    Boundary wall or fence: Free-standing structure  constructed from approved materials surrounding a  plot, resting on the ground and rising above ground  level and used for confinement and/or screening for  safety or security or division purposes."
9079,"Building height, total: Vertical distance measured from  the approved road edge level at the plot main access to  the highest roof surface or element."
9080,Building height: Vertical distance measured from the  approved road edge level at the plot main access to the  mean finished level of the building roof.
9081,Dubai Building Code    Part K: Villas     Flight: Continuous run of stair treads from one landing  to another.
9082,"Floor finish: Exposed floor surfaces of buildings  including coverings applied over a floor or stair,  including risers."
9083,Floor height: Vertical distance from top to top of two  successive finished floor surfaces.
9084,"For the topmost  storey, from the top of the floor finish to the top of the  ceiling joists or, where there is no ceiling, to the top of  the roof surface."
9085,Floor or storey: Portion of a building located between  the upper surface of a floor and the upper surface of  the floor or roof next above.
9086,"Garage: Building or structure, or any part thereof, used  or intended for parking or storage of vehicles, which  may or may not include a roof."
9087,Gate level: Defined height on the plot’s boundary at  the vehicular or pedestrian access point to the plot.
9088,It is an elevation difference between the road level  (existing or future) and the level of the plot’s access  point.
9089,The gate level of a plot is a minimum height of +300  mm from the edge of the road level or a slope of  between 2-5% from the edge of the road to the plot’s  access point.
9090,Gross area (GA): Floor area within the inside perimeter  of the exterior walls of a building.
9091,"The measurement  excludes shafts and courtyards, but includes corridors,  stairways, ramps, closets, base of atria (or similar  voids) and the thickness of interior walls, columns or  other features."
9092,Ground floor: First floor in the building above the gate  level.
9093,"Guardrail: Vertical protective barrier erected along  elevated walking surfaces, exposed edges of stairways,  balconies and similar areas that minimizes the  possibility of fall from elevated surfaces to lower level."
9094,"Guard room: Room, unit, or residential space on the  same plot of land as the main building, or located  within the main building, designated for the occupancy  of the guard."
9095,"Habitable space: Space in a building for living, sleeping  or eating involving occupancy for continuous period of  time."
9096,"Bathrooms, toilet rooms, closets, halls, storage  or utility spaces and similar areas are not habitable  spaces."
9097,Handrail: Horizontal or sloping rail intended for  handhold and grasping by hand for guidance or  support (see Figure K.3).
9098,"Hardscape: Area of a project site, excluding buildings,  made with hard materials, including roads, car parks,  patios, courtyards and walkways."
9099,"K 5    01    03    02    Figure K.3 Stair components    Key  01: Handrail  02: Riser  03: Tread    Housekeeper’s room: Attached or separate room or  unit on the same plot of land as the main building,  designated for the residence of housekeepers or other  maintenance staff such as gardeners, guards and  drivers."
9100,"Landing: Floor area at the top of a flight of stairs or  between two flights of stairs, or a platform or part of a  floor structure at the end of a ramp or at the entrance  to an elevator car."
9101,"Level: Ground or floor surface, or part of a surface,  having a slope of not more than 2% at any point and in  any direction."
9102,"Dubai Building Code    Part K: Villas     Low-rise building: Building height less than or up to  15 m, measured in accordance with the UAE FLSC  [Ref."
9103,K.1].
9104,A more detailed definition is given in  UAE FLSC.
9105,"Massing: Overall mass or size of a building or project,  its physical volume or magnitude."
9106,"Masterplan: Comprehensive plan to guide the long-  term physical development of a specific area based  on identified objectives, strategies, and timelines  for implementation."
9107,"Includes plans for land use,  community facilities and utilities, transportation of  goods and people, and energy use and conservation."
9108,Zoning ordinances and policies are developed for  different areas or zoning districts based on the  masterplan.
