,Sentences
12091," Suitable means shall  be installed to isolate each capacitor, capacitor bank, or  capacitor installation from all sources of voltage and to  remove the unit from service."
12092,    G 65    Dubai Building Code    Part G: Incoming utilities     All non-current-carrying metal parts of capacitors shall  be earthed as specified in G.
12093,4.
12094,19.
12095,    Each capacitor shall be provided with a name plate  indicating the following information:    i)    ii)    rated voltage;     frequency;    iii) kVAr;    iv) number of phases;    v) discharge device;    vi)     name of the manufacturer.
12096,"    Wherever a capacitor bank/panel is installed on the  supply side of DEWA kWh metering, adequate sealing  provision shall be made as specified in G."
12097,4.
12098,5.
12099,"    In premises where capacitor banks are not installed and  individual equipment is provided with suitable means  for PF correction, a PF meter shall be provided in the  MDB for displaying the PF."
12100," If PF deviates from the  requirement specified by the designer, consumers shall  arrange for PF correction equipment to maintain the  PF close to 0."
12101,95 lagging.
12102,    The capacitor bank panel shall be provided with a  suitably rated main incomer isolating switch.
12103, This shall  be a three-pole isolator or MCCB.
12104, The handle of the  incomer isolator or MCCB shall be interlocked with the  door to ensure that the capacitor bank is de-energized  when the door is open.
12105,    G 66    Capacitor banks shall be provided with forced  ventilation.
12106, They shall have double enclosures to  limit the temperature rise for outdoor/open to sky  area installations.
12107, A trip mechanism with alarm shall  be provided to operate in the event of failure of the  ventilation/excess temperature rise.
12108,    G.
12109,4.
12110,20.
12111,2 Harmonics and rapid voltage changes  A consumer’s load shall not cause deviations of the  voltage characteristics other than those permitted by  BS EN 50160 and IEC 61000.
12112,    The on-site measurements to determine compliance  with the harmonics limits and any excess deviations  shall be carried out by the consumer.
12113, The following  characteristics of a supply voltage shall be taken into  account:    a) power frequency;    b) magnitude of the supply voltage;    c) supply voltage variations;    d) rapid voltage changes and flickers;    e) supply voltage dips;    f) short interruptions of the supply voltage;    g) long interruptions of the supply voltage;    h) temporary power frequency over voltages;    i) transient over voltages;    j) supply voltage unbalance;    k) harmonic voltage;    l)    inter-harmonic voltage;    m) mains signalling voltage.
12114,    G.
12115,4.
12116,20.
12117,3 Undervoltage (UV) relays with auto  reset timer  All air-conditioners and air-conditioning units/plants/  equipment installed within the consumer’s installation  shall be provided with UV relays that trip the circuit  breakers/contactors associated with these relays.
12118,    The tripping shall occur immediately and without any  intentional time delay if the supply voltage drops to or  below 75% of nominal and remains at or below 75%  for a duration of 0.
12119,2 s.
12120, Tripping shall not occur if the  supply voltage recovers above 75% within 0.
12121,2 s.
12122,    The UV relay’s auto-reset timer shall have an  adjustable time setting between 5 min and 10 min.
12123,"  The circuit breakers/contactors associated with the  UV relay shall have an auto-closing facility to restore  supply to the chillers/air conditioning units, after  normalization of supply voltage, when the relay is  reset automatically."
12124, The auto-closing facility shall  have a motorized operation.
12125," The auto-reset timer of  the UV relays shall be set at values specified in the  manufacturer’s schedules, approved by DEWA, to suit  individual installation."
12126, Necessary provision for sealing  may be incorporated in the relay to restrict access for  adjustments of the setting.
12127,    Dubai Building Code    Part G: Incoming utilities     UV relays with auto-reset timers shall normally be  incorporated within the respective air-conditioning  unit/equipment or in their control panels.
12128," For normal  air-conditioners, UV relays with auto-reset timers may  be provided within the consumer’s DB for individual or  group of air-conditioning units."
12129, Prior approval shall be  obtained from DEWA for each application.
12130,    The UV relays shall only be applied to trip the  respective air-conditioning units/plant or equipment  sensitive to voltage variations.
12131, The UV relays shall not  be applied to trip LV incomer circuit-breakers/ACB  within the main LV panel.
12132, The UV relays with  associated controls shall be checked and maintained  regularly.
12133, The 75% voltage threshold and tripping time  of the air-conditioning units/plants/equipment shall be  confirmed to DEWA after installation.
12134,    G.
12135,4.
12136,21    Construction sites    G.
12137,4.
12138,21.
12139,1 General  Assemblies for the distribution of electricity on  construction sites shall conform to BS 4363 and BS  EN 61439.
12140,"    Equipment shall be identified by a temporary label  identifying the supply location, and shall be compatible  with the particular supply from which it is energized."
12141,  It shall only contain components connected to a single  installation.
12142,"    G 67    Cables shall not be installed across a site, road  or walkway unless the cable is protected against  mechanical damage."
12143,"    All cables used on construction sites shall have a  metal sheath and/or armour, both of which shall be  effectively earthed and continuous."
12144,"    Wiring systems shall be arranged such that no strain  is placed on the terminations of conductors, unless the  terminations are designed for this purpose."
12145,    Assemblies for construction sites shall incorporate  suitable devices for switching and isolating the  incoming supply.
12146,    A circuit breaker shall be provided for isolating the  incoming supply.
12147," The circuit breaker shall either be  suitable for securing in the off position by padlock, or  installed inside a lockable enclosure."
12148,    Safety and standby supplies shall be connected by  means of devices arranged to prevent interconnection  of the different supplies.
12149,"    Metering cabinets, DBs and wiring installations  installed outdoors shall be weatherproof  (IP 65 in accordance with BS EN 60529)."
12150,    G.
12151,4.
12152,21.
12153,2 Wiring systems and distribution boards  Cables which are not installed in conduit or trunking  shall be:    a) armoured;    b) protected against accidental or deliberate    interference by persons; and    c) protected against the weather.
12154,    A means of emergency switching shall be provided on  the supply to all equipment from which it might be  necessary to disconnect all live conductors in order to  remove a hazard.
12155,"    Equipment shall be located, and notices displayed,  in such a way as to facilitate immediate emergency  disconnection of the electricity supply."
12156, Locking  arrangements shall be provided that can be removed  in an emergency (e.
12157,g.
12158, panic bar or keys available in a  break-out box).
12159,"    Where a proposal for more than one feeder means  that MDBs are installed at different locations, the  emergency power out facility shall be provided at a  single location."
12160,"    It might be necessary to use a reduced LV supply  for portable tools where there is a high exposure to  potential damage, or where persons are required to  operate such equipment in confined spaces or other  hazardous circumstances."
12161, A reduced LV shall be used  where deemed necessary.
12162,    Dubai Building Code    Part G: Incoming utilities     Temporary electrical systems for entertainment and  similar purposes shall be provided in accordance with  BS 7909.
12163,    Earth leakage protection    G.
12164,4.
12165,21.
12166,"3  In addition to the overcurrent and short-circuit  protection, every circuit shall be protected for earth  leakage."
12167,    All of the following shall be protected with an  ELCB/RCCB of rated operating current 30 mA:    a) final sub-circuits connected to 13 A switched    socket outlets;    b) portable tools;    c) equipment.
12168,"    A 100 mA ELCB/RCCB shall be provided for the  protection of other lighting circuits,  fixed equipment, etc."
12169, unless otherwise specified.
12170,"    The consumer shall check and test the earthing  systems, operation of ELCBs/RCCBs, wiring  installation, etc."
12171," regularly to verify that the installation  is safe, and shall take remedial action if necessary."
12172,    G 68    Dubai Building Code    Part G: Incoming utilities     G.
12173,5    Electric vehicle (EV) charging points    G.
12174,5.
12175,1    Charging modes    G.
12176,5.
12177,1.
12178,1  IEC 61851 specifies four different modes of conductive charging for electric vehicles.
12179, The four modes are summarized in G.
12180,5.
12181,1.
12182,2 to G.
12183,5.
12184,1.
12185,5.
12186,    General    Mode 1 charging    G.
12187,5.
12188,1.
12189,2  Mode 1 charging is illustrated in Figure G.
12190,31.
12191," Alternating current (AC) is delivered  to the on-board charger of the EV, via a standard socket outlet and a charging  cable without communication function."
12192, An RCD for shock protection is provided on  the supply side of the fixed electrical installation.
12193, Mode 1 is not suitable for longer  periods of charging at home or the work place.
12194,    Mode 2 charging    G.
12195,5.
12196,1.
12197,3  Mode 2 charging is illustrated in Figure G.
12198,32.
12199, The charging cable assembly  incorporates an in-cable control box.
12200," The fixed electrical installation for the charging  facility is similar to that of Mode 1 except that the final circuit, protective device and  socket shall be of a suitable rating for the connected load, and shall not exceed 32 A,  in order to cater for the higher level of charging current."
12201,    Mode 1 is not permitted due to the lack of safety measures associated with this  mode of charging.
12202,    Figure G.
12203,31 Electric vehicle Mode 1 charging    Figure G.
12204,32 Electric vehicle Mode 2 charging    Key  01: Battery  02: EV inlet  03: Connector  04: On-board charger  05: Plug  06: Socket outlet    G 69    Key  01: Battery  02: EV inlet  03: Connector  04: On-board charger  05: Plug  06: Socket outlet  07: In-cable control box    Dubai Building Code    Part G: Incoming utilities     Mode 3 charging    G.
12205,5.
12206,1.
12207,4  Mode 3 charging is illustrated in Figure G.
12208,33.
12209, It employs dedicated EV service  equipment (EVSE) and a charging cable assembly.
12210, The control pilot cable of the  charging cable assembly allows communication between the EVSE and the on-board  charger.
12211, Communication functions include:    Mode 4 charging    G.
12212,5.
12213,1.
12214,5  Mode 4 charging is illustrated in Figure G.
12215,34.
12216," It employs an off-board charger to  deliver direct current to the battery, bypassing the on-board charger."
12217, This mode  can charge an EV in a relatively short time because a higher electrical power is used  (ranging from 20 kW to 120 kW).
12218,    a) verification of connection with the EV;    b) continuous checking of protective earth conductor integrity;    c) energization and de-energization of the supply;    d) selection of the charging rate.
12219,"    06    05    NOTE: Maximum charging capacity of a DEWA charger shall be limited to 25kW or  below per charging outlet, subject to available load capacity."
12220,    Figure G.
12221,33 Electric vehicle Mode 3 charging    Figure G.
12222,34 Electric vehicle Mode 4 charging    Key  01: Battery  02: EV inlet  03: Connector  04: On-board charger  05: Plug  06: Socket outlet  07: AC charger facility    G 70    Key  01: Battery  02: EV inlet  03: Connector  04: DC quick charging facility    Dubai Building Code    Part G: Incoming utilities     G.
12223,5.
12224,2    EVSE design requirements    2) Cables supplying EVSE shall be mechanically    d) The following requirements shall be met for    For the permitted charging modes described in G.
12225,5.
12226,1.
12227,3  to G.
12228,5.
12229,1.
12230,"5, the following requirements shall be met."
12231,    a) The following general requirements shall be met.
12232,    1) Installation of a private charging outlet shall be    subject to prior DEWA approval.
12233,    2) The design of EVSE shall enable maintenance  and service work to be carried out safely.
12234,"    3) EVSE shall be installed with sufficient space    around it, in accordance with the manufacturer’s  instructions, to allow for ventilation and cooling  of the equipment."
12235,    4) EVSE shall be installed in such a way as to    minimize the distance between the EV inlet and  the charging equipment.
12236,"    5) EVSE shall not be installed in locations where  a potentially explosive atmosphere exists, such  as petrol stations."
12237," Where such locations require  EVSE, it shall be installed outside the hazardous  zone."
12238,    b) The following requirements shall be met for circuits.
12239,    1) EVSE shall be supplied by a separate and a    dedicated radial circuit.
12240," The radial circuit shall  supply no other loads, except for ventilation  equipment required by the EVSE."
12241,"    NOTE: More than one EVSE can be fed from the  same supply circuit, provided that the combined  current demand of the equipment does not  exceed the rating of the supply circuit."
12242,"    G 71    protected by means of metal sheath/armour, or  installed inside a conduit made from either:    i) rigid steel;    ii) plastic; or    iii) PVC."
12243,"    3) Each final circuit shall be sized to carry the rated  current of the EVSE, with limited voltage drop  as required."
12244,"    4) Where the final circuit supplies more than one  EVSE, there shall be no diversity."
12245," A diversity  factor (usually greater than one) may be used  for a dedicated distribution circuit supplying  multiple EVSE charging points, provided that  load control is available."
12246,    isolation and switching.
12247,"    1) A means of isolating the supply to the EVSE  circuit shall be provided, in accordance with  G."
12248,4.
12249,13.
12250,2.
12251, The isolating device shall be:    i) capable of being locked in the open position;    ii) located in a position that is readily accessible    for maintenance purposes; and    iii) suitably identified by marking and/or    identification.
12252,"    2) Where an emergency switch is provided, it shall:    i) be located in a position that is readily  accessible, in accordance with the  manufacturer’s recommendations;    ii) be suitably identified by marking and/or    c) The following requirements shall be met for sockets    labelling; and    and connectors."
12253,"    iii) disconnect all live conductors, including the    1) One socket outlet and/or vehicle connector shall    neutral."
12254,    be used to charge one EV.
12255,    e) The following requirements shall be met for    2) EVSE shall be installed such that the main    protection.
12256,    operating controls and any socket outlet are  between 0.
12257,75 m and 1.
12258,2 m above ground.
12259,    3) The EV manufacturer’s instructions shall be    followed when determining the type of socket  outlet to be installed.
12260,    1) EVSE and all associated equipment shall    be selected and erected in such a way as to  minimize the risk of overloads and short-  circuits.
12261,    2) Each final circuit shall be individually protected    against fault current by a suitably rated  overcurrent protective device.
12262,    Dubai Building Code    Part G: Incoming utilities     3) An operation instruction for the charging facility  shall be displayed at a prominent location at all  parking spaces with EVSE.
12263, The instruction shall  include the following information:    i) rated voltage (V);    ii) frequency (Hz);    iii) current (A); and    iv) number of phases.
12264,    4) Directional signage inside and outside car parks  is recommended to direct EV drivers to parking  spaces with EVSE.
12265,    3) Basic protection against electrical shock shall be  provided by automatic disconnection of supply  or electrical separation (see G.
12266,4.
12267,13.
12268,2).
12269,    4) Every charging point shall be individually    protected by a 30 mA RCD.
12270," The RCD shall  disconnect all live conductors, including the  neutral."
12271,    5) The requirements of G.
12272,4.
12273,19 shall be met on final    circuits.
12274,    f) The following requirements shall be met for    labelling.
12275,    1) The labelling and identification requirements    listed in G.
12276,4.
12277,18.
12278,"6 shall be met, together with the  following."
12279,    2) All labels on EVSE shall be:    i) clear;    ii) easily visible;    iii) written in both Arabic and English; and    iv) constructed and affixed to remain legible for    as long as the enclosure is in use.
12280,    G 72    Dubai Building Code    Part G: Incoming utilities     G.
12281,6    Renewable energy    G.
12282,6.
12283,"1    General    As a type of renewable energy, solar energy is clean  and secure."
12284," DEWA encourages the use of solar energy  to reduce reliance on traditional energy sources  (such as gas, oil and coal), which are diminishing."
12285,    The onsite generation of electricity from a solar PV  shall be by a solar grid-connected system.
12286," The grid-  connected solar generator shall be connected to the  DEWA network, and operated and maintained in  accordance with applicable legislation [Ref."
12287, G.
12288,4] and  DEWA Shams Dubai regulations [Ref.
12289, G.
12290,5].
12291, System  documentation requirements are described in G.
12292,6.
12293,2.
12294,    NOTE 1: The connection of a solar PV system or  distributed renewable resource generation (DRRG) to  the DEWA grid is subject to DEWA approval.
12295,    NOTE 2: Detailed technical requirements are set out in  DEWA Technical publications and resources [Ref.
12296, G.
12297,6].
12298,"    The designer shall comply with DEWA specifications,  acceptable standards, procedures and other  requirements published on DEWA website  (Shams Dubai section)."
12299, The requirements are updated  regularly and form an integral part of the DBC.
12300,"    Solar power generation systems shall conform to  Section 2, Ch."
12301, 14 of the UAE FLSC [Ref.
12302, G.
12303,1] and  this section.
12304,"    G 73    Building attached photovoltaics (BAPV) systems  attached to roofs, excluding curved or special roofs,  are permitted to achieve a minimum fire classification  of Class C when tested as per the test standards in  Section 2."
12305,2.
12306,"4, Ch."
12307, 14 of the UAE FLSC [Ref.
12308, G.
12309,1].
12310,    The minimum fire classification permitted for building  integrated photovoltaics (BIPV) and BAPV systems  other than the above shall be confirmed with DEWA  and DCD upon commencement of design.
12311,    G.
12312,6.
12313,2    System documentation requirements    Consultants and Contractors registered with DEWA  for activities related to grid-connected solar PV  systems (DRRG Solar PV Consultants and DRRG  Solar PV Contractors) shall follow the DEWA  guidelines published on the DEWA website for these  requirements.
12314," Applications for solar connections shall  be submitted online and shall include the following  documents:    a) basic system information;    b) details of the system designer;    c) details of the system installer, operation and    maintenance procedure."
12315,    NOTE: Detailed requirements are set out in DEWA  Connection guidelines for distributed renewable  resources generators connected to the distribution  network [Ref.
12316, G.
12317,7].
12318,    G.
12319,6.
12320,3    Wiring diagram datasheets    An annotated/table form single line wiring diagram  that meets the requirements of DEWA Shams Dubai  regulations [Ref.
12321, G.
12322,5] shall be uploaded with the  DEWA application.
12323," It shall include the following  information:    a) PV array general specifications:    1) PV module type(s);    2) total number of PV modules;    3) number of PV strings;    4) PV modules per string;    b) PV string information:    1) string cable specifications – size and type;    2) string fuse specifications (where fitted) – type    and voltage/current ratings;    c) PV array electrical details:    1) PV array main cable specifications, AC and    DC – size and type;    2) PV array junction box locations (where    applicable);    3) DC isolator type, location and rating    (voltage/current);    d) earthing and overvoltage protection:    1) details of all earth/bonding conductors – size  and connection points (to include details of PV  array frame equipotential bonding cable where  fitted);    Dubai Building Code    Part G: Incoming utilities     2) Design verification and details of any    connections to an existing lightning protection  system or supplementary lightning protection  system that is to be provided;    3) details of any surge protection device installed  (on both AC and DC lines), including location,  type and rating;    e) AC electrical details, inbuilt and external    protections:    1) AC isolator location, type and rating;    2) AC overcurrent protective device location, type    and rating;    3) residual current device location, type and rating."
12324,    G.
12325,6.
12326,4    Labelling and identification    G.
12327,6.
12328,5    Metering and metering provision    DEWA requires access to meter cabinets for the  installation of smart meters (PV generation check  meters and tariff meters).
12329," Contractors shall install  meter cabinets in an easily accessible location, in  accordance with G."
12330,4.
12331,5.
12332,    A solar PV installation shall meet the requirements of  DEWA Shams Dubai regulations [Ref.
12333, G.
12334,"5], together  with the following requirements."
12335,"    a) All circuits, protective devices, switches and    terminals shall be labelled to identify all relevant  parts of the installation."
12336,    b) All DC junction boxes (PV generator and PV    array boxes) shall be provided with caution labels  indicating the risk due to dual source.
12337,    c) The main AC isolating switch shall be clearly    labelled.
12338,    d) A single line wiring diagram shall be displayed  within the respective electrical rooms/panels.
12339,"    e) Inverter protection settings and installation details,    as applicable, shall be displayed."
12340,    f) The procedures for emergency shutdown shall be    displayed.
12341,    g) All signs and labels shall be suitably affixed.
12342,    h) Durable copies of all test and commissioning data    shall be provided to the consumer.
12343,    G 74    Dubai Building Code    Part G: Incoming utilities     G.
12344,7    Substation and MV installations    G.
12345,7.
12346,1    MV network design requirements  and guidelines (11 kV)    G.
12347,7.
12348,1.
12349,4  The maximum sustained loads of 11 kV feeder are:    Cable loads    G.
12350,7.
12351,1.
12352,1  G.
12353,7 outlines the design requirements where:    General    a) a DEWA substation is required within the building    or plot boundary; and    b) an 11kV medium voltage (MV) network provides    the primary power to the building or plot.
12354,    Reliability of supply    G.
12355,7.
12356,1.
12357,2  A ring supply consisting of two feeders (a two-feed  ring) is the normal feeding arrangement for power  supply.
12358, A three-feed ring arrangement may be adopted  for cases where all MV switchgears/RMUs are installed  in one location to ensure specific supply reliability.
12359,"    For reliable power supply, N-1 line criterion may be  used in some installations."
12360," In case of power failure  in one feeder, the other feeder should be capable of  meeting the entire demand for a maximum of 6 h."
12361,    G.
12362,7.
12363,1.
12364,3  The DEWA standard 11 kV cable sizes are:    Standard cable sizes    a) 3/C 300 mm2 copper XLPE;  b) 3/C 240 mm2 copper XLPE;  c) 3/C 240 mm2 aluminium XLPE.
12365,    a) for 300 mm2 copper XLPE cables (summer rating):    175 A/3 MW;    b) for 240 mm2 copper XLPE cables (summer rating):    160 A/2.
12366,7 MW.
12367,    The single unit load demand shall not exceed the  maximum sustained current of 175 A/3 MW for an  11 kV feeder cable.
12368,    All 11 kV private switchgear shall have a rated  symmetrical short-circuit current not less than 31.
12369,"5kA,  with a short time current rating of 3 s."
12370,    For private equipment with bulk loads (e.
12371,g.
12372," furnaces or  district cooling) requiring direct MV supply, space for  metering units at the customer’s premises/substation  shall be provided."
12373," Necessary documents, drawings and  SLDs shall be submitted for comments/approval at  design stage."
12374,    Parallel operation    G.
12375,7.
12376,1.
12377,5  Parallel operation of DEWA’s MV feeders are not  allowed in any circumstances.
12378, Electrical and mechanical  interlocking shall be provided where required.
12379,    Standby generators are not allowed to operate in  parallel with DEWA’s network.
12380, Interlocking shall be  provided where required.
12381,    The customer shall maintain a PF between 0.
12382,95  (lagging) and unity at the point of connection with  DEWA’s MV Network.
12383,"    The customer shall comply with DEWA’s limits of  maximum allowable motor starting currents, and  corresponding electrical power ratings, as indicated in  Table G."
12384,22.
12385,    Motor electrical power rating    Max.
12386," starting current*    Less than or equal to 600 kW 6 × full load current    Above 600 kW and up to 1,200  kW    4 × full load current    Above 1,200 kW and up to  1,800 kW    Above 1,800 kW and up to  2,400 kW    Above 2,400 kW and up to  3,000 kW    3 × full load current    2 × full load current    1."
12387,5 × full load current    Motor electrical power rating    Max.
12388, starting current*    * Maximum current per feeder during motor starting (including  other running motors and loads) should not exceed 350 A at any  circumstances.
12389,    Table G.
12390,22 DEWA limits of maximum allowable motor starting currents    G 75    Dubai Building Code    Part G: Incoming utilities       Cable trenches    G.
12391,7.
12392,1.
12393,7  The maximum allowable number of cables per trench  for 11 kV cables is 20.
12394," These cables shall be arranged  in a maximum of two layers within a trench with a  maximum width of not more than 3 m on both sides  of the road, close to 132/11 kV substation."
12395,    A minimum of 2 m clearance shall be maintained  between any MV cable trench and the surrounding  heat sources such as 132 kV cable trench.
12396,    The permitted horizontal spacing between MV cables  is 150 mm (edge to edge for MV cables) and permitted  vertical spacing between layers is 100 mm (edge to  edge for 11 kV cables).
12397, Refer to Figure G.
12398,35.
12399,    Crossing between 132 kV cables and MV cables  shall not be used unless it is unavoidable.
12400, A separate  corridor shall be allocated within the premises for MV  cable laying along the road.
12401,    In soil with a resistivity below 1.
12402,"6 °C-m/W, the backfill  around MV cables shall have a maximum moisture  content of 2% and be at 90% compaction."
12403,    An SLD illustrating the protection schemes shall be  submitted with a relay setting calculation at the design  stage.
12404,    Figure G.
12405,35 Typical minimum clearance between cables installed within trench    The following information shall be submitted for  approval at design stage:    a) motor specification;    b) starting method characteristics and specifications;    c) number of motor starts per day and operation    sequence;    d) SLDs and equipment layouts.
12406,    Harmonics    G.
12407,7.
12408,1.
12409,"6  For loads that inject harmonics currents into DEWA’s  network, harmonic (voltage and current) study at the  point of connection is required."
12410, The study shall be  submitted for DEWA approval at the design stage.
12411,"    The customer shall comply with DEWA’s limits of  harmonic emissions for voltage and current, based on  IEC 61000-3-6:2."
12412,0-2008.
12413," Detailed specifications and  size of equipment, including harmonics spectrum, shall  be provided for DEWA approval."
12414,"    After commissioning of the project, harmonics and  flicker site measurements shall be conducted."
12415, A report  of the measurements shall be submitted to DEWA.
12416,"  Where the measured values exceed DEWA’s limits, the  customer shall arrange for a solution to reduce the  harmonic emissions to the permissible limits."
12417,    G 76    Dubai Building Code    Part G: Incoming utilities     G.
12418,7.
12419,2    Substation construction within private plots    General    G.
12420,7.
12421,2.
12422,"1  Building-type substations shall be constructed for  projects such as labour accommodation, schools,  nurseries and hospitals."
12423,    Pocket (self-contained) substations shall not be  installed at petrol stations and inside buildings.
12424,    Substation parameters    G.
12425,7.
12426,2.
12427,3  A single room substation at ground floor (see G.
12428,7.
12429,5.
12430,"1)  shall have a clear height of not less than 3,700 mm."
12431,    For split/basement substation arrangements (see  G.
12432,7.
12433,5.
12434,"2), the RMU room at ground floor shall have a  clear height of not less than 3 m."
12435,"    Expansion joints shall not be used in RMU rooms or  transformer rooms, or on ceilings."
12436,    A basement transformer room shall have a clear height  of not less than 3 m.
12437,    Substation location    G.
12438,7.
12439,2.
12440,2  The substation shall be positioned in a dedicated room  or housing.
12441,    Substations located in basement levels shall have  transformer rooms in the first basement level only.
12442,    LV electrical rooms shall be adjacent to the substation  room if the main panel is private.
12443,    Wet areas shall not be installed above substations  (see G.
12444,7.
12445,4).
12446,    The substation finished floor level (FFL) shall be  maintained between 150 mm and 300 mm above  the adjacent ground level (towards the door side).
12447,  Additional room parameters are shown in Figure G.
12448,36  and Figure G.
12449,37.
12450,    The FFL of a transformer room at basement level shall  be maintained between 75 mm and 150 mm higher  than the adjacent outside ground level (towards door  side).
12451,    G 77    Dubai Building Code    Part G: Incoming utilities     6.
12452,54    06    1.
12453,0    0.
12454,77    0.
12455,90    0.
12456,77    2.
12457,05    0.
12458,20    0.
12459,40    0.
12460,85    01    02    0.
12461,60    3.
12462,0    05    0.
12463,45    04    5.
12464,00    0.
12465,92    0.
12466,60    0.
12467,92    0.
12468,87    1.
12469,03    03    0  4  .
12470,  0    0  4  .
12471,  0    1.
12472,00    6.
12473,54    06    1.
12474,68    3.
12475,05    1.
12476,68    1.
12477,0    0.
12478,77    0.
12479,90    0.
12480,77    2.
12481,05    0.
12482,20  0.
12483,40    0.
12484,85    01    02    0.
12485,60    3.
12486,0    05    0.
12487,45    04    5.
12488,00    0.
12489,92    0.
12490,60    0.
12491,92    0.
12492,87    1.
12493,03    03    0  4  .
12494,  0    0  4  .
12495,  0    1.
12496,00    2.
12497,75    07    2.
12498,15    0.
12499,60    5.
12500,00    3.
12501,00    08    0.
12502,45    0.
12503,60    0.
12504,95    0.
12505,15    09    3.
12506,70    0.
12507,63    11    10    1.
12508,68    3.
12509,05    1.
12510,68    5.
12511,00    3.
12512,00    08    Figure G.
12513,36 General dimensional details of substations within buildings (m)    2.
12514,15    3.
12515,70    2.
12516,75    07    G 78    0.
12517,60    0.
12518,45    0.
12519,60    0.
12520,95    0.
12521,15    09    0.
12522,63    11    10    Key  01: 150 mm øPVC at trench level  02: Transformer base  03: RMU  04: RTU  05: All louver windows as door details above FFL of  0.
12523,6 m x 3 m (w) x 2.
12524,15 m (h)  06: 600 mm opening at channel base level    07: Door  08: Air intake louver  09: Chequered plate with two lifting holes  10: 25 mm diameter lifting hole  11: Chequered plate cover    Dubai Building Code    Part G: Incoming utilities     7    7    .
12525,    0    0    9    .
12526,    0    7    7    .
12527,    0    0.
12528,20  0.
12529,40    7    7  0    .
12530,    0    9  0    .
12531,    7    7  0    .
12532,    0  4  0    .
12533,    0.
12534,20  0.
12535,40    0  4  0    .
12536,    0.
12537,85    01    02    1.
12538,03    03    0.
12539,40    0.
12540,85    01    02    1.
12541,03    03    0.
12542,40    0  0    .
12543,    1    0.
12544,45    0  0  .
12545,  1    0.
12546,45    0.
12547,20  0.
12548,40    0.
12549,85    0.
12550,45    2  9  .
12551,  0    7  7  .
12552,  0    0  6  .
12553,  0    0  9  .
12554,  0    04    05    0  4  .
12555,  0    01    1.
12556,0 0    0.
12557,5 0    2  9  .
12558,  0    0  6  .
12559,  0    2  9  .
12560,  0    7  7  .
12561,  0    06    02    07    08    2  9  .
12562,  0    0  4  .
12563,  0    1.
12564,03    03    0.
12565,40    0  0  .
12566,  1    2  9  .
12567,  0    0  6  .
12568,  0    2  9  .
12569,  0    04    05    0  4  .
12570,  0    1.
12571,0 0    0.
12572,5 0    06    07    08    (a) Transformer and RMU details    (b) Chequered plate mounting detail    09    04    05    0  4  .
12573,  0    14    06    07    08    13    1.
12574,0 0    0.
12575,5 0    10    11    12    0.
12576,65    0.
12577,30  0.
12578,15    (c) Incoming trench construction details    14  Figure G.
12579,37 Details within Figure G.
12580,36 (m)    09    0.
12581,65    0.
12582,30  0.
12583,15  G 79    13    10    11    12    09    14    13    10    11    12    0.
12584,65    0.
12585,30  0.
12586,15    0.
12587,95    0.
12588,15  0.
12589,30    0.
12590,95    0.
12591,15  0.
12592,30    Key  01: 150 mm øPVC at trench level  02: Transformer base  03: RMU  04: 13 mm × 6 mm flat bar welded to angle  05: 6 mm thick hot dip galvanized chequered  plate cover  06: 25 mm × 25 mm × 3 mm angle welded to  chequered plate cover on two side  07: 60 mm × 60 mm × 6 mm edge angle  08: T10 anchor welded to angle at 300 mm  centre-to-centre  09: Wall  10: Opening  11: Pre-cast concrete  12: Slope  13: Channel  14: Chequered plate    0.
12593,95    0.
12594,15  0.
12595,30    Dubai Building Code    Part G: Incoming utilities     Earthing    G.
12596,7.
12597,2.
12598,"4  Substation earthing, which forms part of the  consumer’s scope, shall meet DEWA requirements at  design stage."
12599,    The following requirements shall be met for substation  neutral earthing schemes (see Figure G.
12600,38):    a) Two or more dedicated and interconnected earth  pits shall be provided for transformer earthing  and shall be connected to the substation earth  strips in a loop.
12601, The effective earth resistance value  measured from any neutral earthing strip shall be  less than 2.
12602,0 Ω.
12603,    b) Two or more dedicated and interconnected earth  pits shall be provided for transformer equipment  body earthing and shall be connected to the  transformer equipment body earth strips in a loop.
12604,  The effective earth resistance value measured from  any of the equipment body earth strips shall be less  than 2.
12605,0 Ω.
12606,    c) Interconnection of transformer neutral earthing  and equipment body earthing is not permitted.
12607,"    d) Earth strips shall be mounted on the cable    trench wall at the nearest point to the respective  equipment, with a minimum clearance of 50 mm  from the wall."
12608,    e) Earth strips shall be provided with a minimum of  four 12 mm diameter holes for earth looping.
12609,    G 80    f) Earth conductors shall be copper material with  a minimum of 95 mm2 diameter.
12610," If the length of  conductors exceeds 50 m, 120 mm2 diameter  copper earth conductors shall be used."
12611,"    g) In substations with multiple transformer and RMU    arrangements, the neutral earthing scheme outlined  shall be repeated for every two transformers and  the same equipment body earthing scheme to be  repeated for every three transformers and their  corresponding RMUs."
12612,    Figure G.
12613,38 Substation neutral earthing    Key  01: Substation neutral  earth strips  02: Body neutral earth  strips  03: To neutral earth pits  04: To body earth pits  05: Substation room    Dubai Building Code    Part G: Incoming utilities     G.
12614,7.
12615,3    Substation location and access    The substation room/RMU room shall be directly  located on the RTA/public road or sikka.
12616,"    Where the substation/RMU room is located on a sikka,  the sikka should have a minimum clear width of 6."
12617,1 m.
