,Sentences,length,word_count,length_change,wordcount_change
1665,"popul estim d.8.11.1 popul shall estim base occup rate tabl d.10. popul requir owner/develop permit author higher, higher requir shall use",138,21,49,0
1666,"apart type occup rate (persons) provis shall higher either a) one elev everi 1,000 labour b) one elev everi two entranc build",125,22,27,0
1667,studio 1 bedroom 2 bedroom 3 bedroom d.8.10.2 minimum elev specif elev shall meet minimum specif tabl d.9,105,18,28,0
1668,"addit bedroom tabl d.10 occup rate student accommod 2 2 4 6 2 attribut rate capac (kg) rate capac (persons) number car door minimum passeng 750 10 one cabin size, w × (mm) 1,200 × 1,500 cabin height, h (mm) 2,300 door size, w × h (mm) 900 × 2,100 recommend passeng servic 1,275 17 one 1,200 × 2,300 2,500 1,100 × 2,100 d.8.11.2 minimum number passeng elev shall determin figur d.16",381,72,42,0
1669,passeng elev select chart 16-20 11-15 6-10 1-5 r fl e p u c c 3 2 2 2 1 3 3 3 2 4 4 3 2 4 4 3 4 4 3 5 4 4 ≤200 201-300 301-400 401-500 501-600 601-700 701-800 door type two-panel centr open two-panel side open tabl d.9 minimum specif elev labour accommod figur d.16 elev chart popul – student accommod popul 22 dubai build code part vertic transport d.8.11.3 minimum elev specif elev shall meet minimum specif tabl d.11,419,86,90,0
1670,"attribut rate capac (kg) rate capac (persons) number car door minimum passeng 750 10 one cabin size, w × (mm) 1,200 × 1,500 cabin height, h (mm) 2,300 door size, w × h (mm) 900 × 2,100 recommend passeng servic 1,275 17 one 1,200 × 2,300 2,500 1,100 × 2,100 door type two-panel centr open two-panel side open tabl d.11 minimum specif elev student accommod d.8.12 passeng elev escal hotel popul estim d.8.12.1 hotel build includ guest room common spaces. guest popul shall estim base occup rate tabl d.12",502,89,88,0
1671,"build type 4- 5-star 3-star 1- 2-star occup rate (persons) 1.8 per room 1.5 per room 1.5 per room tabl d.12 guest occup rate hotel highli recommend provid separ elev use public. provis public elevators, public popul shall ad hotel guest popul access control measur shall ad elev control ensur author access guest floors/rooms. public popul shall estim base occup rate tabl d.13",377,63,72,0
1672,"public area meet room ballroom restaur food beverag outlet tabl d.13 occup rate public area occup rate (m2 per person) 1.2 1.5 1.5 1.5 build one elev grouping, popul shall estim accord d.8.5",190,33,43,0
1673,"23 dubai build code part vertic transport passeng elev select chart d.8.12.2 minimum number passeng elev shall determin figur d.17, figur d.18 figur d.19, depend hotel’ star rating. 24 r fl e p u c c 26-30 21-25 16-20 11-15 6-10 1-5 4 4 3 3 3 3 3 3 2 3 2 2 2 2 4 4 4 4 3 5 5 4 4 4 6 5 5 5 4 6 6 5 5 4 7 6 6 ≤200 201-300 301-400 401-500 501-600 601-700 701-800 801-900 901-1,000 popul figur d.17 elev chart popul – 1- 2-star hotel r fl e p u c c 26-30 21-25 16-20 11-15 6-10 1-5 3 2 2 2 2 3 3 3 2 4 4 4 4 3 5 5 4 4 4 5 5 5 4 4 7 6 5 5 4 7 6 6 8 7 6 ≤200 201-300 301-400 401-500 501-600 601-700 701-800 801-900 901-1,000 figur d.18 elev chart popul – 3-star hotel popul r fl e p u c c 26-30 21-25 16-20 11-15 6-10 1-5 3 3 2 3 3 2 2 2 6 5 5 4 4 6 6 5 5 5 7 6 6 5 5 7 7 7 6 5 5 4 4 4 ≤200 201-300 301-400 401-500 501-600 601-700 701-800 801-900 figur d.19 elev chart popul – 4- 5-star hotel popul dubai build code part vertic transport d.8.12.3 minimum elev specif elev shall meet minimum specif tabl d.14, tabl d.15 tabl d.16, depend hotel’ star rate",1047,252,127,0
1674,"j.5 describ access control requir hotel floors. attribut passeng elev servic elev minimum recommend minimum recommend rate capac (kg) 1,350 rate capac (persons) 18 number car door one 1,600 21 one 1,600 21 one 2,000 26 one attribut passeng elev servic elev cabin size, w × (mm) 2,000 × 1,500 2,100 × 1,600 1,400 × 2,400 1,500 × 2,700 minimum recommend minimum recommend cabin height, h (mm) 2,400 2,600 2,500 2,800 rate capac (kg) 1,050 rate capac (persons) 14 number car door one 1,350 18 one 1,275 17 one 1,600 21 one cabin size, w × (mm) 1,600 × 1,500 2,000 × 1,500 1,200 × 2,300 1,400 × 2,400 cabin height, h (mm) 2,300 2,300 2,500 2,500 door size, w × h (mm) 1,100 × 2,100 1,100 × 2,100 1,100 × 2,100 1,300 × 2,300 door type two-panel centr open two-panel side open tabl d.14 minimum specif elev 1- 2-star hotel door size, w × h (mm) 1,100 × 2,100 1,100 × 2,100 1,300 × 2,300 1,400 × 2,300 door type two-panel centr open two-panel side open tabl d.16 minimum specif elev 4- 5-star hotel d.8.12.4 minimum escal specif escal provid circul public floor shall meet minimum specif tabl d.17",1090,200,141,0
1675,"attribut minimum recommend attribut passeng elev servic elev practic capac (peopl per hour) 4,500 minimum recommend minimum recommend number flat steps* rate capac (kg) 1,350 rate capac (persons) 18 number car door one 1,600 21 one 1,600 21 one 1,600 21 one cabin size, w × (mm) 2,000 × 1,500 2,100 × 1,600 1,400 × 2,400 1,400 × 2,400 floor height ≤6 two floor height >6 three step width (mm) 1,000 angl inclin floor height ≤6 35° floor height >6 30° 4,500 three 1,000 30° cabin height, h (mm) 2,300 2,500 2,500 2,500 *step refer depth escal step equival length move walk",571,102,53,0
1676,"door size, w × h (mm) 1,100 × 2,100 1,100 × 2,300 1,300 × 2,300 1,300 × 2,300 tabl d.17 minimum specif escal door type two-panel centr open two-panel side open tabl d.15 minimum specif elev 3-star hotel 25 dubai build code part vertic transport d.8.13 passeng elev hotel apart d.8.13.1 popul shall estim base occup rate tabl d.18",329,59,74,0
1677,popul estim apart type occup rate (persons) studio 1 bedroom 2 bedroom 3 bedroom addit bedroom 1 1.5 2.5 3.5 1 tabl d.18 guest occup rate hotel apart d.8.13.2 minimum number passeng elev shall determin figur d.20,212,37,45,0
1678,"passeng elev select chart r fl e p u c c 26-30 21-25 16-20 11-15 6-10 1-5 2 2 2 3 3 3 3 3 2 4 3 3 3 3 3 4 4 3 3 3 3 5 4 4 4 4 3 3 3 3 2 2 5 5 4 4 6 5 5 4 6 6 5 5 ≤200 201-300 301-400 401-500 501-600 601-700 701-800 801-900 901-1,000 figur d.20 elev chart popul – hotel apart popul number addit passeng elev number board floor shall determin figur d.21. minimum number passeng elev shall taken sum number obtain figur d.20 figur d.21",432,103,61,0
1679,26 r fl e p u c c r fl e p u c c 26-30 21-25 16-20 11-15 6-10 1-5 26-30 21-25 16-20 11-15 6-10 1-5 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 2 1 0 0 0 0 3 board floor (a) popul >700 0 0 0 0 0 0 2 1 0 0 0 0 3 board floor (b) popul ≤700 1 1 0 0 4 1 1 0 0 4 2 2 1 0 5 1 1 1 0 5 figur d.21 elev chart board floor – hotel apart dubai build code part vertic transport d.8.13.3 minimum elev specif elev shall meet minimum specif tabl d.19. part j describ access control requir floor,473,130,77,0
1680,"attribut passeng elev servic elev minimum recommend minimum recommend rate capac (kg) 1,050 rate capac (persons) 14 number car door one 1,350 18 one 1,600 21 one 1,600 21 one cabin size, w × (mm) 1,600 × 1,500 2,000 × 1,500 1,400 × 2,400 1,400 × 2,400 cabin height, h (mm) 2,300 2,300 2,500 2,500 door size, w × h (mm) 1,100 × 2,100 1,100 × 2,100 1,200 × 2,300 1,300 × 2,300 door type two-panel centr open two-panel side open tabl d.19 minimum specif elev hotel apart 27 dubai build code part vertic transport d.8.14 passeng elev escal offic build passeng elev select d.8.14.1 build one elev grouping, number passeng elev shall determin base number board floors, number occupi floor ga, use figur d.22",701,125,118,0
1681,"board floor 1 2-4 5-8 1 2-4 5-8 1 2-4 5-8 r fl e p u c c 19-20 17-18 15-16 13-14 11-12 9-10 7-8 5-6 3-4 1-2 3 2 2 2 2 4 3 3 3 2 3 2 1 1 2 2 2 4 3 3 5 5 4 3 3 3 3 2 2 5 5 4 3 3 1 4 4 4 4 4 4 3 3 3 2-4 5-8 6 6 6 6 6 6 5 5 6 6 5 5 5 5 5 4 4 1 5 5 5 5 4 4 4 4 2-4 5-8 7 7 6 6 5 5 5 5 7 7 7 7 6 6 6 5 1 6 6 5 5 5 5 5 4 2-4 5-8 8 7 7 7 6 6 6 6 8 8 8 8 7 7 7 6 1 7 6 6 6 6 6 5 2-4 5-8 9 8 8 7 7 7 7 9 9 9 8 8 8 8 1 8 7 7 7 6 6 5 2-4 5-8 10 10 9 8 7 7 7 11 10 10 10 9 8 8 1 8 8 8 7 7 7 2-4 5-8 11 11 10 9 9 9 12 11 11 10 10 10 1 9 9 9 9 9 8 2-4 5-8 12 12 12 10 10 10 13 13 12 11 11 11 ga m2 ≤2,500 2,501-5,000 5,001-7,500 7,501-10,000 10,001-12,500 12,501-15,000 15,001-17,500 17,501-20,000 20,001-22,500 22,501-25,000 figur d.22 elev chart offic build figur d.22 assum occup rate 10 m2 per person 80% ga. higher occupancy, vt consult shall appointed. build one elev group serv floor zones, vt consult shall appoint",907,281,43,0
1682,28 dubai build code part vertic transport d.8.14.2 minimum elev specif elev shall meet minimum specif tabl d.20,111,18,36,0
1683,"attribut passeng elev servic elev d.8.14.3 minimum escal specif escal use occup circul park floor offic floors, shall meet minimum specif tabl d.21",147,23,54,0
1684,"minimum recommend minimum attribut minimum recommend ≤5 floor >5 floor ≤5 floor >5 floor ≤5 floor >5 floor practic capac (peopl per hour) 4,500 1,050 1,275 1,350 1,600 1,275 1,600 number flat steps* floor height ≤6 two floor height >6 three 14 17 18 21 17 21 step width (mm) 1,000 4,500 three 1,000 30° rate capac (kg) rate capac (persons) number car door cabin size, w × (mm) cabin height, h (mm) one one one one one one 1,600 × 1,500 2,300 1,900 × 1,500 2,300 2,000 × 1,500 2,300 2,100 × 1,600 2,300 1,200 × 2,300 2,400 1,400 × 2,400 2,600 door size, w × h (mm) 1,100 × 2,100 1,100 × 2,100 1,100 × 2,100 1,100 × 2,100 1,100 × 2,100 1,200 × 2,300 door type two-panel centr open two-panel centr open tabl d.20 minimum specif elev offic build 29 angl inclin floor height ≤6 35° floor height >6 30° *step refer depth escal step equival length move walk",850,162,70,0
1685,"tabl d.21 minimum specif escal d.8.15 circul retail, shop centr mall primari secondari mode circul d.8.15.1 escal use approxim 80% people. shop trolley used, inclin move walk shall provid instead escalators. move walk feasible, elev suffici capac accommod passeng trolley return trolley may provid",297,44,81,0
1686,"elev secondari mode circulation, use peopl specif requirements. elev shall locat next escal move walks. maximum distanc set elevators/escalators/mov walk shall 100",163,22,29,0
1687,escal move walk shall replac elev mean circul peopl determin use wheelchair,75,12,29,0
1688,dubai build code part vertic transport popul estim d.8.15.2 popul shall estim base rate one person per 5 m2 gross leas area public circul area,142,25,38,0
1689,d.8.15.4 minimum specif escal shall meet minimum specif tabl d.24,65,10,22,0
1690,attribut minimum recommend select tabl d.8.15.3 minimum number escal elev shall determin tabl d.22,98,14,21,0
1691,"popul (persons) less 600 600 4,500 4,501 8,000 escal option one group two group elev one set two elev one set two elev two set two elev practic capac (peopl per hour) 4,500 number flat steps* floor height ≤6 two floor height >6 three step width (mm) 1,000 angl inclin floor height ≤6 35° floor height >6 30° 4,500 three 1,000 30° *step refer depth escal step equival length move walk",383,71,55,0
1692,"everi addit 4,000 add one group add one set two elev tabl d.24 minimum specif escal tabl d.22 escal elev select chart retail minimum number move walk elev shall determin tabl d.23",179,32,47,0
